raw_road_name,current_getRoadKey,proposed_canonical_key,proposed_canonical_name,match_type,confidence_score,candidate_names,source_file,source_scenario,source_name
Panglima Batur,panglima batur,panglima batur,Panglima Batur,exact,1.0,Panglima Batur,master_report_20_Variabel.xlsx,normatif_20,rankings
Aluh Idut,aluh idut,aluh idut,Aluh Idut,exact,1.0,Aluh Idut,master_report_20_Variabel.xlsx,normatif_20,rankings
Merah Johansyah - Melati,merah johansyah - melati,merah johansyah - melati,Merah Johansyah - Melati,exact,1.0,Merah Johansyah - Melati,master_report_20_Variabel.xlsx,normatif_20,rankings
Pemuda,pemuda,pemuda,Pemuda,exact,1.0,Pemuda,master_report_20_Variabel.xlsx,normatif_20,rankings
Bakarung - Rantauan,bakarung - rantauan,bakarung - rantauan,Bakarung - Rantauan,exact,1.0,Bakarung - Rantauan,master_report_20_Variabel.xlsx,normatif_20,rankings
Parindra,parindra,parindra,Parindra,exact,1.0,Parindra,master_report_20_Variabel.xlsx,normatif_20,rankings
Wasah Tengah - Sungai Tarap,wasah tengah - sungai tarap,wasah tengah - sei tarap,Wasah Tengah - Sungai Tarap,normalized,0.97,Wasah Tengah - Sungai Tarap,master_report_20_Variabel.xlsx,normatif_20,rankings
Kesehatan - Komp. Rmh Dokter,kesehatan - komp. rmh dokter,kesehatan - komp rmh dokter,Kesehatan - Komp. Rmh Dokter,normalized,0.97,Kesehatan - Komp. Rmh Dokter,master_report_20_Variabel.xlsx,normatif_20,rankings
Simpur - Sp. 3 Muara Paring Agung,simpur - sp. 3 muara paring agung,simpur - sp 3 muara paring agung,Simpur - Sp. 3 Muara Paring Agung,normalized,0.97,Simpur - Sp. 3 Muara Paring Agung,master_report_20_Variabel.xlsx,normatif_20,rankings
Anggrek,anggrek,anggrek,Anggrek,exact,1.0,Anggrek,master_report_20_Variabel.xlsx,normatif_20,rankings
Wahab Syahrani,wahab syahrani,wahab syahrani,Wahab Syahrani,exact,1.0,Wahab Syahrani,master_report_20_Variabel.xlsx,normatif_20,rankings
Menuju Stadion 2 Desember,menuju stadion 2 desember,menuju stadion 2 desember,Menuju Stadion 2 Desember,exact,1.0,Menuju Stadion 2 Desember,master_report_20_Variabel.xlsx,normatif_20,rankings
Teluk Mesjid - Sp. 4 Muara Banta,teluk mesjid - sp. 4 muara banta,teluk mesjid - sp 4 muara banta,Teluk Mesjid - Sp. 4 Muara Banta,normalized,0.97,Teluk Mesjid - Sp. 4 Muara Banta,master_report_20_Variabel.xlsx,normatif_20,rankings
Taniran Selatan - Rantauan,taniran selatan - rantauan,taniran selatan - rantauan,Taniran Selatan - Rantauan,exact,1.0,Taniran Selatan - Rantauan,master_report_20_Variabel.xlsx,normatif_20,rankings
Hamalau - Pahampangan,hamalau - pahampangan,hamalau - pahampangan,Hamalau - Pahampangan,exact,1.0,Hamalau - Pahampangan,master_report_20_Variabel.xlsx,normatif_20,rankings
Angkinang - Telaga Langsat,angkinang - telaga langsat,angkinang - telaga langsat,Angkinang - Telaga Langsat,exact,1.0,Angkinang - Telaga Langsat,master_report_20_Variabel.xlsx,normatif_20,rankings
Tibung Raya - Asam Cangkuk,tibung raya - asam cangkuk,tibung raya - asam cangkuk,Tibung Raya - Asam Cangkuk,exact,1.0,Tibung Raya - Asam Cangkuk,master_report_20_Variabel.xlsx,normatif_20,rankings
Rantauan - Sungai Baru (Pulau),rantauan - sungai baru (pulau),rantauan - sei baru pulau,Rantauan - Sungai Baru (Pulau),normalized,0.97,Rantauan - Sungai Baru (Pulau),master_report_20_Variabel.xlsx,normatif_20,rankings
Taal Batang Kulur - Sp. 3 Muara Prg Agung,taal batang kulur - sp. 3 muara prg agung,taal batang kulur - sp 3 muara prg agung,Taal Batang Kulur - Sp. 3 Muara Prg Agung,normalized,0.97,Taal Batang Kulur - Sp. 3 Muara Prg Agung,master_report_20_Variabel.xlsx,normatif_20,rankings
Newangsekarti - Ds. Gambah Luar Muka,newangsekarti - ds. gambah luar muka,newangsekarti - desa gambah luar muka,Newangsekarti - Ds. Gambah Luar Muka,normalized,0.97,Newangsekarti - Ds. Gambah Luar Muka,master_report_20_Variabel.xlsx,normatif_20,rankings
Papancan - Ds. Tanah Bangkang,papancan - ds. tanah bangkang,papancan - desa tanah bangkang,Papancan - Ds. Tanah Bangkang,normalized,0.97,Papancan - Ds. Tanah Bangkang,master_report_20_Variabel.xlsx,normatif_20,rankings
Air Miris - Ds. Wasah Hilir,air miris - ds. wasah hilir,air miris - desa wasah hilir,Air Miris - Ds. Wasah Hilir,normalized,0.97,Air Miris - Ds. Wasah Hilir,master_report_20_Variabel.xlsx,normatif_20,rankings
Kolonel Sugiono,kolonel sugiono,kolonel sugiono,Kolonel Sugiono,exact,1.0,Kolonel Sugiono,master_report_20_Variabel.xlsx,normatif_20,rankings
AES Nasution,aes nasution,aes nasution,AES Nasution,exact,1.0,AES Nasution,master_report_20_Variabel.xlsx,normatif_20,rankings
Musyawarah (Nagara),musyawarah (nagara),musyawarah nagara,Musyawarah (Nagara),normalized,0.97,Musyawarah (Nagara),master_report_20_Variabel.xlsx,normatif_20,rankings
Pertanian - Ds. Wasah Tengah,pertanian - ds. wasah tengah,pertanian - desa wasah tengah,Pertanian - Ds. Wasah Tengah,normalized,0.97,Pertanian - Ds. Wasah Tengah,master_report_20_Variabel.xlsx,normatif_20,rankings
Tumbukan Banyu - Banua Hanyar,tumbukan banyu - banua hanyar,tumbukan banyu - banua hanyar,Tumbukan Banyu - Banua Hanyar,exact,1.0,Tumbukan Banyu - Banua Hanyar,master_report_20_Variabel.xlsx,normatif_20,rankings
Wasah Hilir - Sarang Halang,wasah hilir - sarang halang,wasah hilir - sarang halang,Wasah Hilir - Sarang Halang,exact,1.0,Wasah Hilir - Sarang Halang,master_report_20_Variabel.xlsx,normatif_20,rankings
Amawang Muka - Getek,amawang muka - getek,amawang muka - getek,Amawang Muka - Getek,exact,1.0,Amawang Muka - Getek,master_report_20_Variabel.xlsx,normatif_20,rankings
Karang Intan - Tanah Bangkang,karang intan - tanah bangkang,karang intan - tanah bangkang,Karang Intan - Tanah Bangkang,exact,1.0,Karang Intan - Tanah Bangkang,master_report_20_Variabel.xlsx,normatif_20,rankings
Haritas (PT. Pertani),haritas (pt. pertani),haritas pt pertani,Haritas (PT. Pertani),normalized,0.97,Haritas (PT. Pertani),master_report_20_Variabel.xlsx,normatif_20,rankings
Singakarsa - Palas,singakarsa - palas,singakarsa - palas,Singakarsa - Palas,exact,1.0,Singakarsa - Palas,master_report_20_Variabel.xlsx,normatif_20,rankings
Tawia - Kayu Abang,tawia - kayu abang,tawia - kayu abang,Tawia - Kayu Abang,exact,1.0,Tawia - Kayu Abang,master_report_20_Variabel.xlsx,normatif_20,rankings
Bina Bakat,bina bakat,bina bakat,Bina Bakat,exact,1.0,Bina Bakat,master_report_20_Variabel.xlsx,normatif_20,rankings
SP.4. Banjarbaru - Pihanin Raya,sp.4. banjarbaru - pihanin raya,sp 4 banjarbaru - pihanin raya,SP.4. Banjarbaru - Pihanin Raya,normalized,0.97,SP.4. Banjarbaru - Pihanin Raya,master_report_20_Variabel.xlsx,normatif_20,rankings
Slasa Garih - Ds. Kapuh,slasa garih - ds. kapuh,slasa garih - desa kapuh,Slasa Garih - Ds. Kapuh,normalized,0.97,Slasa Garih - Ds. Kapuh,master_report_20_Variabel.xlsx,normatif_20,rankings
Gerilya - Ds. Simpur,gerilya - ds. simpur,gerilya - desa simpur,Gerilya - Ds. Simpur,normalized,0.97,Gerilya - Ds. Simpur,master_report_20_Variabel.xlsx,normatif_20,rankings
Kalumpang - Baruh,kalumpang - baruh,kalumpang - baruh,Kalumpang - Baruh,exact,1.0,Kalumpang - Baruh,master_report_20_Variabel.xlsx,normatif_20,rankings
Jangkang - Ds. Wasah Hilir,jangkang - ds. wasah hilir,jangkang - desa wasah hilir,Jangkang - Ds. Wasah Hilir,normalized,0.97,Jangkang - Ds. Wasah Hilir,master_report_20_Variabel.xlsx,normatif_20,rankings
Pandan Sari - Ds. Angkinang,pandan sari - ds. angkinang,pandan sari - desa angkinang,Pandan Sari - Ds. Angkinang,normalized,0.97,Pandan Sari - Ds. Angkinang,master_report_20_Variabel.xlsx,normatif_20,rankings
Karampaci - Ds. Kapuh,karampaci - ds. kapuh,karampaci - desa kapuh,Karampaci - Ds. Kapuh,normalized,0.97,Karampaci - Ds. Kapuh,master_report_20_Variabel.xlsx,normatif_20,rankings
