appendix_name,scenario_id,model,score_type,rank,export_rank,road_key,nama_ruas,nomor_ruas,desa_yang_dilalui,kecamatan_yang_dilalui,score,pred_prob,final_score,base_prob,rerank_score,planned_any_2026,planned_teknokratis_2026,planned_tender_2026,planned_pl_2026,is_top35,is_top70,is_top105
AHP_WSM_20_full,normatif_20,AHP_WSM,,1,1,panglima batur,Panglima Batur,,,,0.7737707472198588,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,2,2,aluh idut,Aluh Idut,,,,0.7719975712979525,,,,,0,0,0,0,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,3,3,merah johansyah - melati,Merah Johansyah - Melati,,,,0.7438220954631554,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,4,4,pemuda,Pemuda,,,,0.7272104729043349,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,5,5,bakarung - rantauan,Bakarung - Rantauan,,,,0.7269937967555984,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,6,6,parindra,Parindra,,,,0.7215670954818657,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,7,7,wasah tengah - sei tarap,Wasah Tengah - Sungai Tarap,,,,0.714497116456361,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,8,8,kesehatan - komp rmh dokter,Kesehatan - Komp. Rmh Dokter,,,,0.7136479281244255,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,9,9,simpur - sp 3 muara paring agung,Simpur - Sp. 3 Muara Paring Agung,,,,0.7119733130103645,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,10,10,anggrek,Anggrek,,,,0.7118731145620214,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,11,11,wahab syahrani,Wahab Syahrani,,,,0.7079608373662095,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,12,12,menuju stadion 2 desember,Menuju Stadion 2 Desember,,,,0.7054912789940992,,,,,1,0,1,0,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,13,13,teluk mesjid - sp 4 muara banta,Teluk Mesjid - Sp. 4 Muara Banta,,,,0.6964536126244207,,,,,0,0,0,0,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,14,14,taniran selatan - rantauan,Taniran Selatan - Rantauan,,,,0.6938729277422482,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,15,15,hamalau - pahampangan,Hamalau - Pahampangan,,,,0.6881390757371346,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,16,16,angkinang - telaga langsat,Angkinang - Telaga Langsat,,,,0.6847271478980579,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,17,17,tibung raya - asam cangkuk,Tibung Raya - Asam Cangkuk,,,,0.6845976737395718,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,18,18,rantauan - sei baru pulau,Rantauan - Sungai Baru (Pulau),,,,0.6840420991609731,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,19,19,taal batang kulur - sp 3 muara prg agung,Taal Batang Kulur - Sp. 3 Muara Prg Agung,,,,0.6810209605897675,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,20,20,newangsekarti - desa gambah luar muka,Newangsekarti - Ds. Gambah Luar Muka,,,,0.6800891223660563,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,21,21,papancan - desa tanah bangkang,Papancan - Ds. Tanah Bangkang,,,,0.6787271682962229,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,22,22,air miris - desa wasah hilir,Air Miris - Ds. Wasah Hilir,,,,0.6770517088274679,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,23,23,kolonel sugiono,Kolonel Sugiono,,,,0.6762938991040395,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,24,24,aes nasution,AES Nasution,,,,0.6762521864090281,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,25,25,musyawarah nagara,Musyawarah (Nagara),,,,0.6760954770058765,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,26,26,pertanian - desa wasah tengah,Pertanian - Ds. Wasah Tengah,,,,0.6747541133821848,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,27,27,tumbukan banyu - banua hanyar,Tumbukan Banyu - Banua Hanyar,,,,0.6729555419693736,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,28,28,wasah hilir - sarang halang,Wasah Hilir - Sarang Halang,,,,0.6726385522035461,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,29,29,amawang muka - getek,Amawang Muka - Getek,,,,0.6711883266776744,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,30,30,karang intan - tanah bangkang,Karang Intan - Tanah Bangkang,,,,0.6708184060093471,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,31,31,haritas pt pertani,Haritas (PT. Pertani),,,,0.6696472366063307,,,,,,,,,1,1,1
AHP_WSM_20_full,normatif_20,AHP_WSM,,32,32,singakarsa - palas,Singakarsa - Palas,,,,0.6695844434808903,,,,,,,,,1,1,1
