appendix_name,scenario_id,model,score_type,rank,export_rank,road_key,nama_ruas,nomor_ruas,desa_yang_dilalui,kecamatan_yang_dilalui,score,pred_prob,final_score,base_prob,rerank_score,planned_any_2026,planned_teknokratis_2026,planned_tender_2026,planned_pl_2026,is_top35,is_top70,is_top105
ANY_Top105_RF_medium_full,refined_recall_max_any2026,RandomForest,rerank_medium,1,1,padang batung - batulaki - malilingin,padang batung – batulaki – malilingin,,,,0.9119857142857144,,,,,,,,,1,1,1
ANY_Top105_RF_medium_full,refined_recall_max_any2026,RandomForest,rerank_medium,2,2,taniran selatan kubah - buntut taniran wawaran,Taniran Selatan Kubah - Buntut Taniran / Wawaran,,,,0.9056428571428573,,,,,1,1,1,0,1,1,1
ANY_Top105_RF_medium_full,refined_recall_max_any2026,RandomForest,rerank_medium,3,3,siang gantung - desa baru,Siang Gantung - Ds. Baru,,,,0.8666428571428573,,,,,0,0,0,0,1,1,1
ANY_Top105_RF_medium_full,refined_recall_max_any2026,RandomForest,rerank_medium,4,4,sei raya selatan - malutu - goa berangin,Sungai Raya Selatan - Malutu - Goa Berangin,,,,0.8664428571428572,,,,,1,0,1,0,1,1,1
ANY_Top105_RF_medium_full,refined_recall_max_any2026,RandomForest,rerank_medium,5,5,padang haur - desa wasah tengah,padang haur – desa wasah tengah,,,,0.8656714285714286,,,,,,,,,1,1,1
ANY_Top105_RF_medium_full,refined_recall_max_any2026,RandomForest,rerank_medium,6,6,palajau - desa baluti,palajau – desa baluti,,,,0.8651857142857143,,,,,,,,,1,1,1
ANY_Top105_RF_medium_full,refined_recall_max_any2026,RandomForest,rerank_medium,7,7,jafri zamzam,jafri zamzam,,,,0.8568428571428571,,,,,,,,,1,1,1
ANY_Top105_RF_medium_full,refined_recall_max_any2026,RandomForest,rerank_medium,8,8,sei paring - sei hanyar pantai ulin,sei paring – sei hanyar pantai ulin,,,,0.8529857142857142,,,,,,,,,1,1,1
ANY_Top105_RF_medium_full,refined_recall_max_any2026,RandomForest,rerank_medium,9,9,samuda - bajayau,Samuda - Bajayau,,,,0.8445285714285714,,,,,1,0,1,0,1,1,1
ANY_Top105_RF_medium_full,refined_recall_max_any2026,RandomForest,rerank_medium,10,10,pandak daun - baruh jaya - samuda,pandak daun – baruh jaya – samuda,,,,0.8426142857142858,,,,,,,,,1,1,1
