appendix_name,scenario_id,model,score_type,rank,export_rank,road_key,nama_ruas,nomor_ruas,desa_yang_dilalui,kecamatan_yang_dilalui,score,pred_prob,final_score,base_prob,rerank_score,planned_any_2026,planned_teknokratis_2026,planned_tender_2026,planned_pl_2026,is_top35,is_top70,is_top105
ANY_Top35_DT_population_full,refined_recall_max_any2026,DecisionTree,rerank_population_focus,1,1,palajau - desa baluti,palajau – desa baluti,,,,0.8872285714285715,,,,,,,,,1,1,1
ANY_Top35_DT_population_full,refined_recall_max_any2026,DecisionTree,rerank_population_focus,2,2,padang batung - batulaki - malilingin,padang batung – batulaki – malilingin,,,,0.8573142857142857,,,,,,,,,1,1,1
ANY_Top35_DT_population_full,refined_recall_max_any2026,DecisionTree,rerank_population_focus,3,3,angkinang - kayu abang - panggang hijau,angkinang – kayu abang – panggang hijau,,,,0.8194285714285715,,,,,,,,,1,1,1
ANY_Top35_DT_population_full,refined_recall_max_any2026,DecisionTree,rerank_population_focus,4,4,baluti - jambu hulu paku,baluti – jambu hulu paku,,,,0.8150000000000001,,,,,,,,,1,1,1
ANY_Top35_DT_population_full,refined_recall_max_any2026,DecisionTree,rerank_population_focus,5,5,samuda - bajayau,Samuda - Bajayau,,,,0.8143428571428573,,,,,1,0,1,0,1,1,1
ANY_Top35_DT_population_full,refined_recall_max_any2026,DecisionTree,rerank_population_focus,6,6,hamalau - telaga bidadari - wasah hilir,hamalau – telaga bidadari – wasah hilir,,,,0.8047714285714286,,,,,,,,,1,1,1
ANY_Top35_DT_population_full,refined_recall_max_any2026,DecisionTree,rerank_population_focus,7,7,tembok baru - desa baluti,tembok baru – desa baluti,,,,0.8028,,,,,,,,,1,1,1
ANY_Top35_DT_population_full,refined_recall_max_any2026,DecisionTree,rerank_population_focus,8,8,baiturrahim parincahan,baiturrahim parincahan,,,,0.8005428571428571,,,,,,,,,1,1,1
ANY_Top35_DT_population_full,refined_recall_max_any2026,DecisionTree,rerank_population_focus,9,9,tukang garit tambangan,Tukang Garit (Tambangan),,,,0.7948571428571428,,,,,0,0,0,0,1,1,1
ANY_Top35_DT_population_full,refined_recall_max_any2026,DecisionTree,rerank_population_focus,10,10,sei raya selatan - malutu - goa berangin,Sungai Raya Selatan - Malutu - Goa Berangin,,,,0.7926857142857143,,,,,1,0,1,0,1,1,1
ANY_Top35_DT_population_full,refined_recall_max_any2026,DecisionTree,rerank_population_focus,11,11,sukaramai - keramat,sukaramai – keramat,,,,0.7842,,,,,,,,,1,1,1
ANY_Top35_DT_population_full,refined_recall_max_any2026,DecisionTree,rerank_population_focus,12,12,sp 4 mesjid sirih - sarang nyamuk - asam tamiyang,sp 4 mesjid sirih – sarang nyamuk – asam tamiyang,,,,0.7841142857142858,,,,,,,,,1,1,1
ANY_Top35_DT_population_full,refined_recall_max_any2026,DecisionTree,rerank_population_focus,13,13,padang haur - desa wasah tengah,padang haur – desa wasah tengah,,,,0.7804857142857143,,,,,,,,,1,1,1
ANY_Top35_DT_population_full,refined_recall_max_any2026,DecisionTree,rerank_population_focus,14,14,gerilya depan pustu habirau,Gerilya / (Depan PUSTU Habirau),,,,0.7797142857142857,,,,,1,1,1,0,1,1,1
ANY_Top35_DT_population_full,refined_recall_max_any2026,DecisionTree,rerank_population_focus,15,15,sp 4 banjarbaru - pihanin raya,sp 4 banjarbaru – pihanin raya,,,,0.7771714285714286,,,,,,,,,1,1,1
ANY_Top35_DT_population_full,refined_recall_max_any2026,DecisionTree,rerank_population_focus,16,16,angkinang selatan - tawia - wawaran,Angkinang Selatan - Tawia - Wawaran,,,,0.7742857142857144,,,,,1,0,1,0,1,1,1
ANY_Top35_DT_population_full,refined_recall_max_any2026,DecisionTree,rerank_population_focus,17,17,tumbukan banyu - banua hanyar,tumbukan banyu – banua hanyar,,,,0.7708857142857144,,,,,,,,,1,1,1
ANY_Top35_DT_population_full,refined_recall_max_any2026,DecisionTree,rerank_population_focus,18,18,jafri zamzam,jafri zamzam,,,,0.7698571428571429,,,,,,,,,1,1,1
ANY_Top35_DT_population_full,refined_recall_max_any2026,DecisionTree,rerank_population_focus,19,19,angkinang - telaga langsat,angkinang – telaga langsat,,,,0.7690285714285715,,,,,,,,,1,1,1
ANY_Top35_DT_population_full,refined_recall_max_any2026,DecisionTree,rerank_population_focus,20,20,amawang muka - getek,amawang muka – getek,,,,0.7661142857142857,,,,,,,,,1,1,1
ANY_Top35_DT_population_full,refined_recall_max_any2026,DecisionTree,rerank_population_focus,21,21,tanjungan - sp 10 batang kulur - sei kali,Tanjungan - Sp. 10 Batang Kulur - Sungai Kali,,,,0.7629714285714286,,,,,1,0,0,1,1,1,1
ANY_Top35_DT_population_full,refined_recall_max_any2026,DecisionTree,rerank_population_focus,22,22,rambai - bariang,rambai – bariang,,,,0.7605999999999999,,,,,,,,,1,1,1
ANY_Top35_DT_population_full,refined_recall_max_any2026,DecisionTree,rerank_population_focus,23,23,mawangi - bukuanin - telaga langsat,Mawangi - Bukuanin - Telaga Langsat,,,,0.7586285714285714,,,,,0,1,0,0,1,1,1
ANY_Top35_DT_population_full,refined_recall_max_any2026,DecisionTree,rerank_population_focus,24,24,bajayau - desa bajayau tengah,Bajayau - Ds. Bajayau Tengah,,,,0.7585714285714287,,,,,1,0,1,0,1,1,1
