appendix_name,scenario_id,model,score_type,rank,export_rank,road_key,nama_ruas,nomor_ruas,desa_yang_dilalui,kecamatan_yang_dilalui,score,pred_prob,final_score,base_prob,rerank_score,planned_any_2026,planned_teknokratis_2026,planned_tender_2026,planned_pl_2026,is_top35,is_top70,is_top105
ANY_Top70_RF_grid0005_full,refined_recall_max_any2026,RandomForest,grid_0005,1,1,padang batung - batulaki - malilingin,padang batung – batulaki – malilingin,,,,0.9144727891156461,,,,,,,,,1,1,1
ANY_Top70_RF_grid0005_full,refined_recall_max_any2026,RandomForest,grid_0005,2,2,taniran selatan kubah - buntut taniran wawaran,Taniran Selatan Kubah - Buntut Taniran / Wawaran,,,,0.9080782312925171,,,,,1,1,1,0,1,1,1
ANY_Top70_RF_grid0005_full,refined_recall_max_any2026,RandomForest,grid_0005,3,3,palajau - desa baluti,palajau – desa baluti,,,,0.8745068027210884,,,,,,,,,1,1,1
ANY_Top70_RF_grid0005_full,refined_recall_max_any2026,RandomForest,grid_0005,4,4,padang haur - desa wasah tengah,padang haur – desa wasah tengah,,,,0.8656292517006801,,,,,,,,,1,1,1
ANY_Top70_RF_grid0005_full,refined_recall_max_any2026,RandomForest,grid_0005,5,5,sei raya selatan - malutu - goa berangin,Sungai Raya Selatan - Malutu - Goa Berangin,,,,0.8595068027210884,,,,,1,0,1,0,1,1,1
ANY_Top70_RF_grid0005_full,refined_recall_max_any2026,RandomForest,grid_0005,6,6,sei paring - sei hanyar pantai ulin,sei paring – sei hanyar pantai ulin,,,,0.8595068027210883,,,,,,,,,1,1,1
ANY_Top70_RF_grid0005_full,refined_recall_max_any2026,RandomForest,grid_0005,7,7,siang gantung - desa baru,Siang Gantung - Ds. Baru,,,,0.8568537414965985,,,,,0,0,0,0,1,1,1
ANY_Top70_RF_grid0005_full,refined_recall_max_any2026,RandomForest,grid_0005,8,8,jafri zamzam,jafri zamzam,,,,0.8528741496598637,,,,,,,,,1,1,1
ANY_Top70_RF_grid0005_full,refined_recall_max_any2026,RandomForest,grid_0005,9,9,samuda - bajayau,Samuda - Bajayau,,,,0.8524999999999999,,,,,1,0,1,0,1,1,1
ANY_Top70_RF_grid0005_full,refined_recall_max_any2026,RandomForest,grid_0005,10,10,tambangan - desa baruh jaya,Tambangan - Ds. Baruh Jaya,,,,0.8511734693877552,,,,,1,1,1,0,1,1,1
ANY_Top70_RF_grid0005_full,refined_recall_max_any2026,RandomForest,grid_0005,11,11,singakarsa - palas,singakarsa – palas,,,,0.8510034013605442,,,,,,,,,1,1,1
ANY_Top70_RF_grid0005_full,refined_recall_max_any2026,RandomForest,grid_0005,12,12,pandak daun - baruh jaya - samuda,pandak daun – baruh jaya – samuda,,,,0.8501530612244897,,,,,,,,,1,1,1
ANY_Top70_RF_grid0005_full,refined_recall_max_any2026,RandomForest,grid_0005,13,13,baiturrahim parincahan,baiturrahim parincahan,,,,0.8403571428571429,,,,,,,,,1,1,1
ANY_Top70_RF_grid0005_full,refined_recall_max_any2026,RandomForest,grid_0005,14,14,bayanan - habirau tengah,Bayanan - Habirau Tengah,,,,0.8340986394557823,,,,,1,1,1,0,1,1,1
