target_name,road_key,nama_ruas,nomor_ruas,desa_yang_dilalui,kecamatan_yang_dilalui,planned_any_2026,planned_teknokratis_2026,planned_tender_2026,planned_pl_2026
TARGET_planned_any_2026,ambarai - madang,Ambarai - Madang,,,,1,0,0,1
TARGET_planned_any_2026,angkinang selatan - tawia - wawaran,Angkinang Selatan - Tawia - Wawaran,,,,1,0,1,0
TARGET_planned_any_2026,asam duhat - desa pantai ulin,Asam Duhat - Ds. Pantai Ulin,,,,1,0,1,0
TARGET_planned_any_2026,bajayau - desa bajayau tengah,Bajayau - Ds. Bajayau Tengah,,,,1,0,1,0
TARGET_planned_any_2026,bakarung - tabihi - karang jawa,Bakarung -Tabihi - Karang Jawa,,,,1,0,1,0
TARGET_planned_any_2026,bamban tibung - martajiwa,Bamban (Tibung) - Martajiwa,,,,1,1,1,0
TARGET_planned_any_2026,bamban tengah - lok nyiur,Bamban Tengah - Lok Nyiur,,,,1,1,1,0
TARGET_planned_any_2026,bayanan - habirau tengah,Bayanan - Habirau Tengah,,,,1,1,1,0
TARGET_planned_any_2026,gerilya depan pustu habirau,Gerilya / (Depan PUSTU Habirau),,,,1,1,1,0
TARGET_planned_any_2026,halayung - hantarukung,Halayung - Hantarukung,,,,1,0,0,1
TARGET_planned_any_2026,loksado - loklahung,Loksado - Loklahung,,,,1,0,1,0
TARGET_planned_any_2026,malilingin - lokbahan - paniungan,Malilingin - Lokbahan - Paniungan,,,,1,0,1,0
TARGET_planned_any_2026,menuju stadion 2 desember,Menuju Stadion 2 Desember,,,,1,0,1,0
TARGET_planned_any_2026,pangeran antasari - loklua,Pangeran Antasari - Loklua,,,,1,0,1,0
TARGET_planned_any_2026,samuda - bajayau,Samuda - Bajayau,,,,1,0,1,0
TARGET_planned_any_2026,sp hamalau - teluk pinang,Simpang Hamalau - Teluk Pinang,,,,1,0,0,1
TARGET_planned_any_2026,sp malutu - pahampangan,Simpang Malutu - Pahampangan,,,,1,0,1,0
TARGET_planned_any_2026,sei bugundi,Sungai Bugundi,,,,1,0,1,0
TARGET_planned_any_2026,sei raya selatan - malutu - goa berangin,Sungai Raya Selatan - Malutu - Goa Berangin,,,,1,0,1,0
TARGET_planned_any_2026,sei raya selatan - sarang halang,Sungai Raya Selatan - Sarang Halang,,,,1,0,0,1
TARGET_planned_any_2026,sei raya utara - teluk pinang,Sungai Raya Utara - Teluk Pinang,,,,1,0,1,0
TARGET_planned_any_2026,taal jarau - sp baru tampang,Taal Jarau - Sp. Baru/Tampang,,,,1,0,0,1
TARGET_planned_any_2026,tajun - sp 3 muara paring agung,Tajun - Sp.3 Muara Paring Agung,,,,1,0,0,1
TARGET_planned_any_2026,tambangan - desa baruh jaya,Tambangan - Ds. Baruh Jaya,,,,1,1,1,0
TARGET_planned_any_2026,taminung,Taminung,,,,1,0,0,1
TARGET_planned_any_2026,taniran selatan kubah - buntut taniran wawaran,Taniran Selatan Kubah - Buntut Taniran / Wawaran,,,,1,1,1,0
TARGET_planned_any_2026,tanjungan - sp 10 batang kulur - sei kali,Tanjungan - Sp. 10 Batang Kulur - Sungai Kali,,,,1,0,0,1
TARGET_planned_any_2026,telaga langsat - pakuan timur,Telaga Langsat - Pakuan Timur,,,,1,1,0,1
