target_name,road_key,nama_ruas,nomor_ruas,desa_yang_dilalui,kecamatan_yang_dilalui,planned_any_2026,planned_teknokratis_2026,planned_tender_2026,planned_pl_2026
TARGET_planned_teknokratis_2026,amd - desa lok binuang,AMD - Ds. Lok Binuang,,,,0,1,0,0
TARGET_planned_teknokratis_2026,anjiran rantauan - desa taniran tengah,Anjiran Rantauan - Ds. Taniran Tengah,,,,0,1,0,0
TARGET_planned_teknokratis_2026,asam seranggan - asam tamiyang,Asam Seranggan - Asam Tamiyang,,,,0,1,0,0
TARGET_planned_teknokratis_2026,bamban tibung - martajiwa,Bamban (Tibung) - Martajiwa,,,,1,1,1,0
TARGET_planned_teknokratis_2026,bamban selatan - tanggang - panggang hijau,Bamban Selatan - Tanggang - Panggang Hijau,,,,0,1,0,0
TARGET_planned_teknokratis_2026,bamban tengah - lok nyiur,Bamban Tengah - Lok Nyiur,,,,1,1,1,0
TARGET_planned_teknokratis_2026,banua hanyar - desa tanjung selor,Banua Hanyar - Ds. Tanjung Selor,,,,0,1,0,0
TARGET_planned_teknokratis_2026,banyu barau - sei kalang,Banyu Barau - Sei Kalang,,,,0,1,0,0
TARGET_planned_teknokratis_2026,baru - desa bajayau,Baru - Ds. Bajayau,,,,0,1,0,0
TARGET_planned_teknokratis_2026,batang kulur kanan - batang kulur kiri,Batang Kulur Kanan - Batang Kulur Kiri,,,,0,1,0,0
TARGET_planned_teknokratis_2026,bayanan - habirau tengah,Bayanan - Habirau Tengah,,,,1,1,1,0
TARGET_planned_teknokratis_2026,gerilya depan pustu habirau,Gerilya / (Depan PUSTU Habirau),,,,1,1,1,0
TARGET_planned_teknokratis_2026,gumbil - masimpan,Gumbil - Masimpan,,,,0,1,0,0
TARGET_planned_teknokratis_2026,guru h izim - desa pantai ulin,Guru H. Izim - Ds. Pantai Ulin,,,,0,1,0,0
TARGET_planned_teknokratis_2026,halaban,Halaban,,,,0,1,0,0
TARGET_planned_teknokratis_2026,halunuk - riam tajam talo - hamak umpaya,Halunuk - Riam Tajam/Talo - Hamak Umpaya,,,,0,1,0,0
TARGET_planned_teknokratis_2026,hamayung - hakurung dalam,Hamayung - Hakurung Dalam,,,,0,1,0,0
TARGET_planned_teknokratis_2026,jarau - parandakan,Jarau - Parandakan,,,,0,1,0,0
TARGET_planned_teknokratis_2026,kalumpang desa balanti - teratai,Kalumpang (Ds. Balanti) - Teratai,,,,0,1,0,0
TARGET_planned_teknokratis_2026,karya bakti - desa balimau,Karya Bakti - Ds. Balimau,,,,0,1,0,0
TARGET_planned_teknokratis_2026,loklahung - kamawakan,Loklahung - Kamawakan,,,,0,1,0,0
TARGET_planned_teknokratis_2026,loksado - haratai,Loksado - Haratai,,,,0,1,0,0
TARGET_planned_teknokratis_2026,malinau - katingin - kamawakan,Malinau - Katingin - Kamawakan,,,,0,1,0,0
TARGET_planned_teknokratis_2026,manggis - desa baru,Manggis - Ds. Baru,,,,0,1,0,0
TARGET_planned_teknokratis_2026,mawangi - bukuanin - telaga langsat,Mawangi - Bukuanin - Telaga Langsat,,,,0,1,0,0
TARGET_planned_teknokratis_2026,muara pipii - tambak pipii,Muara Pipii - Tambak Pipii,,,,0,1,0,0
TARGET_planned_teknokratis_2026,muning tengah - batang alai pihanin raya,Muning Tengah - Batang Alai (Pihanin Raya),,,,0,1,0,0
TARGET_planned_teknokratis_2026,muning tengah - desa muning dalam,Muning Tengah - Ds. Muning Dalam,,,,0,1,0,0
TARGET_planned_teknokratis_2026,palas - desa wasah tengah,Palas - Ds. Wasah Tengah,,,,0,1,0,0
TARGET_planned_teknokratis_2026,pandak daun buntut muradiyah - pakan dalam,Pandak Daun (Buntut Muradiyah) - Pakan Dalam,,,,0,1,0,0
TARGET_planned_teknokratis_2026,paramaian,Paramaian,,,,0,1,0,0
TARGET_planned_teknokratis_2026,sei mandala murung raya,Sei. Mandala Murung Raya,,,,0,1,0,0
TARGET_planned_teknokratis_2026,sirih - pacakan,Sirih - Pacakan,,,,0,1,0,0
TARGET_planned_teknokratis_2026,sp 4 baru tampang - sp bilui pamujaan,Sp. 4 Baru/Tampang - Sp. Bilui Pamujaan,,,,0,1,0,0
TARGET_planned_teknokratis_2026,sp empat lungau - garis,Sp. Empat Lungau - Garis,,,,0,1,0,0
TARGET_planned_teknokratis_2026,sp 3 bukuanin - riam talo,Sp.3 Bukuanin - Riam Talo,,,,0,1,0,0
TARGET_planned_teknokratis_2026,tabihi - telaga langsat,Tabihi - Telaga Langsat,,,,0,1,0,0
TARGET_planned_teknokratis_2026,talapak manuk - desa kapuh,Talapak Manuk - Ds. Kapuh,,,,0,1,0,0
TARGET_planned_teknokratis_2026,tambangan - desa baruh jaya,Tambangan - Ds. Baruh Jaya,,,,1,1,1,0
TARGET_planned_teknokratis_2026,tamiyang - desa tamiyang eks,Tamiyang - Ds. Tamiyang (Eks TMMD),,,,0,1,0,0
TARGET_planned_teknokratis_2026,tanah habang - desa simpur,Tanah Habang - Ds. Simpur,,,,0,1,0,0
TARGET_planned_teknokratis_2026,taniran selatan kubah - buntut taniran wawaran,Taniran Selatan Kubah - Buntut Taniran / Wawaran,,,,1,1,1,0
TARGET_planned_teknokratis_2026,telaga langsat - pakuan timur,Telaga Langsat - Pakuan Timur,,,,1,1,0,1
TARGET_planned_teknokratis_2026,teluk haur i,Teluk Haur I,,,,0,1,0,0
TARGET_planned_teknokratis_2026,teluk haur ii,Teluk Haur II,,,,0,1,0,0
TARGET_planned_teknokratis_2026,ulin - tanggul balai mas,Ulin - Tanggul (Balai Mas),,,,0,1,0,0
