appendix_name,scenario_id,model,score_type,rank,export_rank,road_key,nama_ruas,nomor_ruas,desa_yang_dilalui,kecamatan_yang_dilalui,score,pred_prob,final_score,base_prob,rerank_score,planned_any_2026,planned_teknokratis_2026,planned_tender_2026,planned_pl_2026,is_top35,is_top70,is_top105
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,1,1,padang batung - batulaki - malilingin,padang batung – batulaki – malilingin,,,,0.8892142857142858,,,,,,,,,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,2,2,taniran selatan kubah - buntut taniran wawaran,Taniran Selatan Kubah - Buntut Taniran / Wawaran,,,,0.8823857142857144,,,,,1,1,1,0,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,3,3,samuda - bajayau,Samuda - Bajayau,,,,0.8691857142857143,,,,,1,0,1,0,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,4,4,palas - desa wasah tengah,Palas - Ds. Wasah Tengah,,,,0.8602714285714287,,,,,0,1,0,0,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,5,5,mawangi - bukuanin - telaga langsat,Mawangi - Bukuanin - Telaga Langsat,,,,0.8514142857142859,,,,,0,1,0,0,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,6,6,tanjung selor - desa badaun,tanjung selor – desa badaun,,,,0.8487714285714287,,,,,,,,,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,7,7,jarau - parandakan,Jarau - Parandakan,,,,0.8447857142857144,,,,,0,1,0,0,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,8,8,loklahung - kamawakan,Loklahung - Kamawakan,,,,0.8425285714285714,,,,,0,1,0,0,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,9,9,teluk haur i,Teluk Haur I,,,,0.8368142857142857,,,,,0,1,0,0,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,10,10,anjiran rantauan - desa taniran tengah,Anjiran Rantauan - Ds. Taniran Tengah,,,,0.8282714285714287,,,,,0,1,0,0,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,11,11,halunuk - riam tajam talo - hamak umpaya,Halunuk - Riam Tajam/Talo - Hamak Umpaya,,,,0.8258142857142857,,,,,0,1,0,0,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,12,12,muning tengah - desa muning dalam,Muning Tengah - Ds. Muning Dalam,,,,0.8179142857142858,,,,,0,1,0,0,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,13,13,rambai - bariang,rambai – bariang,,,,0.8141,,,,,,,,,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,14,14,teluk haur ii,Teluk Haur II,,,,0.8130999999999999,,,,,0,1,0,0,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,15,15,banua hanyar - desa tanjung selor,Banua Hanyar - Ds. Tanjung Selor,,,,0.8100428571428572,,,,,0,1,0,0,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,16,16,angkinang - kayu abang - panggang hijau,angkinang – kayu abang – panggang hijau,,,,0.8086428571428573,,,,,,,,,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,17,17,siang gantung - desa baru,Siang Gantung - Ds. Baru,,,,0.8076428571428571,,,,,0,0,0,0,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,18,18,kayu abang - desa anjiran,kayu abang – desa anjiran,,,,0.8069857142857144,,,,,,,,,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,19,19,asam cangkuk - telaga bidadari,asam cangkuk – telaga bidadari,,,,0.8026714285714286,,,,,,,,,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,20,20,gumbil - masimpan,Gumbil - Masimpan,,,,0.8017571428571428,,,,,0,1,0,0,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,21,21,haratai 2 balai ujung atas sdn haratai2,haratai 2 balai ujung atas sdn haratai2,,,,0.7989571428571428,,,,,,,,,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,22,22,kayu abang - paya,kayu abang – paya,,,,0.7984714285714287,,,,,,,,,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,23,23,muning tengah - batang alai pihanin raya,Muning Tengah - Batang Alai (Pihanin Raya),,,,0.7972285714285715,,,,,0,1,0,0,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,24,24,tembok baru - desa baluti,tembok baru – desa baluti,,,,0.7911571428571428,,,,,,,,,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,25,25,wasah hulu - amparaya - simpur,Wasah Hulu - Amparaya - Simpur,,,,0.7907571428571428,,,,,0,0,0,0,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,26,26,tambangan - desa baruh jaya,Tambangan - Ds. Baruh Jaya,,,,0.7855857142857143,,,,,1,1,1,0,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,27,27,tanuhi - ulang,tanuhi – ulang,,,,0.7792714285714285,,,,,,,,,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,28,28,loksado - haratai,Loksado - Haratai,,,,0.7779857142857144,,,,,0,1,0,0,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,29,29,tajun - sp 3 muara paring agung,Tajun - Sp.3 Muara Paring Agung,,,,0.7778000000000002,,,,,1,0,0,1,1,1,1
