comparison_name,K,category,road_key,road_name,rank_A,rank_B,A_scenario_id,A_model,A_score_type,B_scenario_id,B_model,B_score_type
AHP_WSM_17_vs_Historis_Any2026_Final,35,overlap,angkinang - telaga langsat,Angkinang - Telaga Langsat,12,19,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,overlap,hamalau - ganda,Hamalau - Ganda,13,27,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,overlap,palajau - desa baluti,Palajau - Ds. Baluti,16,1,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,overlap,sei raya - jambu hulu paku,Sungai Raya - Jambu Hulu/Paku,20,25,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,overlap,amawang muka - getek,Amawang Muka - Getek,29,20,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,A_only,panglima batur,Panglima Batur,1,,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,A_only,aluh idut,Aluh Idut,2,,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,A_only,singakarsa - palas,Singakarsa - Palas,3,,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,A_only,kandangan hulu - sp tabihi,Kandangan Hulu - Sp. Tabihi,4,,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,A_only,merah johansyah - melati,Merah Johansyah - Melati,5,,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
