geometry_road_name,geometry_legacy_ref,resolved_key,dd2_feature_found,lookup_method,matched_dd2_name,reason_if_missing
"Jl. Haritas (PT. Pertani)","ruas_001","haritas pt pertani",true,"direct","Haritas (PT. Pertani)",""
"Taal Batang Kulur - SP.3 Muara Paring Agung","ruas_002","taal batang kulur - sp 3 muara prg agung",true,"te_local_alias","Taal Batang Kulur - Sp. 3 Muara Prg Agung",""
"Malilingin - Lokbahan - Paniungan","ruas_003","malilingin - lokbahan - paniungan",true,"direct","Malilingin - Lokbahan - Paniungan",""
"Muara Pipii - Tambak Pipii","ruas_004","muara pipii - tambak pipii",true,"direct","Muara Pipii - Tambak Pipii",""
"Jl. Hariti - Sungai Raya Selatan","ruas_005","hariti - sungai raya selatan",true,"direct","Hariti - Sungai Raya Selatan",""
"Batulaki - Muara Pipii","ruas_006","batu laki - muara pipii",true,"te_local_alias","Batu Laki - Muara Pipii",""
"Simpang Malutu - Tambak","ruas_007","simpang malutu - tambak",true,"direct","Simpang Malutu - Tambak",""
"Ida Manggala - Padang Makmur","ruas_008","ida manggala - padang makmur",true,"direct","Ida Manggala - Padang Makmur",""
"Sungai Raya Selatan - Malutu - Goa Berangin","ruas_009","sungai raya selatan - malutu - goa berangin",true,"direct","Sungai Raya Selatan - Malutu - Goa Berangin",""
"Taal Jarau - SP. Baru/Tampang","ruas_010","taal jarau - sp baru tampang",true,"direct","Taal Jarau - Sp. Baru/Tampang",""
"SP.4 Mesjid Sirih -  Sarang Nyamuk - Asam Tamiyang","ruas_011","sp 4 mesjid sirih - sarang nyamuk - asam tamiyang",true,"direct","SP.4 Mesjid Sirih - Sarang Nyamuk - Asam Tamiyang",""
"SP.4 Baru/Tampang - SP. Biluy Pamujaan","ruas_012","sp 4 baru tampang - sp bilui pamujaan",true,"te_local_alias","Sp. 4 Baru/Tampang - Sp. Bilui Pamujaan",""
"Tambak Pipii - Malilingin","ruas_013","tambak pipii - malilingin",true,"direct","Tambak Pipii - Malilingin",""
"Batang Kulur Kanan - Sarangan","ruas_014","batang kulur kanan - sarangan",true,"direct","Batang Kulur Kanan - Sarangan",""
"Pandulangan - Kalinduku","ruas_015","pandulangan - kalinduku",true,"direct","Pandulangan - Kalinduku",""
"Madang - Ambutun","ruas_016","madang - ambutun",true,"direct","Madang - Ambutun",""
"Jl. Sungai Raya Utara-Teluk Pinang","ruas_017","sungai raya utara - teluk pinang",true,"direct","Sungai Raya Utara - Teluk Pinang",""
"Jl. Guru H. Izim","ruas_018","guru h izim - desa pantai ulin",true,"alias","Guru H. Izim - Ds. Pantai Ulin",""
"Sungai Kudung - Kalinduku","ruas_019","sungai kudung - kalinduku",true,"direct","Sungai Kudung - Kalinduku",""
"SP. Mandampa Telaga Sili-Sili - SP. Sungai Bungur","ruas_020","sp mandampa tel sili - sili - sp sei bungur",true,"alias","Sp. Mandampa Tel. Sili-Sili - Sp. Sei. Bungur",""
"Jl. Sungai Karuh Tembus Tawar","ruas_021","sungai karuh",true,"manual_alias","Sungai Karuh",""
"Jl. Sungai Kacil I - Kapuh Padang","ruas_022","sungai kacil i - kapuh padang",true,"direct","Sungai Kacil I - Kapuh Padang",""
"Wasah Hilir - Amparaya","ruas_023","wasah hilir - amparaya",true,"direct","Wasah Hilir - Amparaya",""
"Tibung Raya - Hamalau Dalam","ruas_024","tibung raya - hamalau dalam",true,"direct","Tibung Raya - Hamalau Dalam",""
"Jl. Mondar (Ulin - Pantai Ulin)","ruas_025","mondar ulin - pantai ulin - desa ulin",true,"alias","Mondar (Ulin-Pantai Ulin) - Ds. Ulin",""
"Jl. Brigjend. Katamso","ruas_026","brigjen katamso",true,"alias","Brigjen Katamso",""
"Jl. Kenanga","ruas_027","kenanga",true,"direct","Kenanga",""
"Bariang - Getek","ruas_028","bariang - getek",true,"direct","Bariang - Getek",""
"Jl. Parindra","ruas_029","parindra",true,"direct","Parindra",""
"Panjampang Bahagia - Hanau","ruas_030","panjampang bahagia - hanau",true,"direct","Panjampang Bahagia - Hanau",""
"Jl. Kalimput Ds. Wasah Hilir","ruas_031","kalimput desa wasah hilir",true,"direct","Kalimput Desa Wasah Hilir",""
"Tanjungan - SP.3 Sakijang","ruas_032","tanjungan - sp 3 sakijang",true,"direct","Tanjungan - Sp. 3 Sakijang",""
"Jl. Teluk Mesjid - SP.4 Muara Banta","ruas_033","teluk mesjid - sp 4 muara banta",true,"direct","Teluk Mesjid - Sp. 4 Muara Banta",""
"Jl. Balanti - (Ex. P3DT)","ruas_034","balanti - ex p3dt",true,"direct","Balanti - (Ex. P3DT)",""
"Jl. Mawar","ruas_035","mawar kandangan utara",true,"manual_ref_alias","Mawar (Kandangan Utara)",""
"Jl. Panglima Batur","ruas_036","panglima batur",true,"direct","Panglima Batur",""
"Jl. Taminung","ruas_037","taminung",true,"direct","Taminung",""
"Jl. Musyawarah","ruas_038","musyawarah kandangan",true,"manual_ref_alias","Musyawarah (Kandangan)",""
"Jl. Amparaya-Karangan - Hanau","ruas_039","amparaya - karangan - hanau",true,"direct","Amparaya - Karangan - Hanau",""
"Paku (Jambu Hulu) - Ganda","ruas_040","paku jambu hulu - ganda",true,"direct","Paku (Jambu Hulu) - Ganda",""
"Kalumpang - Balimau","ruas_041","kalumpang - balimau",true,"direct","Kalumpang - Balimau",""
"Sungai Damang - Amawang Kiri","ruas_042","sungai damang - amawang kiri",true,"direct","Sungai Damang - Amawang Kiri",""
"Jl. Balaimas - Hanau","ruas_043","balaimas - hanau",true,"direct","Balaimas - Hanau",""
"Jl. Samping Bappeda - Mesjid Darul Halik","ruas_044","samping bappeda - mesjid darul halik",true,"direct","Samping Bappeda - Mesjid Darul Halik",""
"Hamalau - Anjiran","ruas_045","hamalau - anjiran",true,"direct","Hamalau - Anjiran",""
"Sungai Raya Selatan - Sarang Halang","ruas_046","sungai raya selatan - sarang halang",true,"direct","Sungai Raya Selatan - Sarang Halang",""
"Kalumpang - Baruh","ruas_047","kalumpang - baruh",true,"direct","Kalumpang - Baruh",""
"Sirih - Taro","ruas_048","sirih - taro",true,"direct","Sirih - Taro",""
"Jl. Anggrek","ruas_049","anggrek",true,"direct","Anggrek",""
"Sarang Halang Padang - SP Batang Kulur","ruas_050","sarang halang padang - sp batang kulur",true,"direct","Sarang Halang Padang - Sp. Batang Kulur",""
"Jl. Halaban","ruas_051","halaban",true,"direct","Halaban",""
"Tajun - SP.3 Muara Paring Agung","ruas_052","tajun - sp 3 muara paring agung",true,"direct","Tajun - Sp.3 Muara Paring Agung",""
"SP.3 Bukuanin - Riam Talo","ruas_053","sp 3 bukuanin - riam talo",true,"direct","Sp.3 Bukuanin - Riam Talo",""
"Wasah Hilir - Sarang Halang","ruas_054","wasah hilir - sarang halang",true,"direct","Wasah Hilir - Sarang Halang",""
"Jl. Teratai Menuju Komplek Perumnas Hamalau","ruas_055","teratai menuju komplek perumnas hamalau",true,"direct","Teratai Menuju Komplek Perumnas Hamalau",""
"Kalumpang (Ds. Belanti) - Teratai","ruas_056","kalumpang desa balanti - teratai",true,"te_local_alias","Kalumpang (Ds. Balanti) - Teratai",""
"Karang Jawa - Ambarai - Sungai Bungur","ruas_057","karang jawa - ambarai - sungai bungur",true,"direct","Karang Jawa -Ambarai - Sungai Bungur",""
"JL. Kolonel Sugiono","ruas_058","kolonel sugiono",true,"direct","Kolonel Sugiono",""
"Tanjungan - SP.10 Batang Kulur - Sungai Kali","ruas_059","tanjungan - sp 10 batang kulur - sungai kali",true,"direct","Tanjungan - Sp. 10 Batang Kulur - Sungai Kali",""
"Jl. Padang Palas","ruas_060","padang palas",true,"direct","Padang Palas",""
"Jl. Tungkaran","ruas_061","tungkaran - desa ulin",true,"alias","Tungkaran - Ds. Ulin",""
"Hamalau - Telaga Bidadari - Wasah Hilir","ruas_062","hamalau - telaga bidadari - wasah hilir",true,"direct","Hamalau - Telaga Bidadari - Wasah Hilir",""
"Jl. Budi Bakti - Tiga Desember","ruas_063","budi bakti - tiga desember",true,"direct","Budi Bakti - Tiga Desember",""
"Jl. Binjai (Sirih Hulu) - Ds. Seranggan","ruas_064","binjai sirih hulu - desa seranggan",true,"direct","Binjai (Sirih Hulu) - Ds. Seranggan",""
"Jl. Soeprapto - Jl. HM. Rusli","ruas_065","soeprapto - h m rusli",true,"alias","Soeprapto - H.M Rusli",""
"Simpur - SP.3 Muara Paring Agung","ruas_066","simpur - sp 3 muara paring agung",true,"direct","Simpur - Sp. 3 Muara Paring Agung",""
"Tembok Lama - Loklua","ruas_067","tembok lama - loklua",true,"direct","Tembok Lama - Loklua",""
"Pegangsaan Timur - Teluk Aman","ruas_068","pegangsaan timur - teluk aman",true,"direct","Pegangsaan Timur - Teluk Aman",""
"Jl. Muning Tengah - Muning Dalam","ruas_069","muning tengah - desa muning dalam",true,"alias","Muning Tengah - Ds. Muning Dalam",""
"Panjampang Bahagia - Bayur","ruas_070","panjampang bahagia - bayur",true,"direct","Panjampang  Bahagia - Bayur",""
"Jl. Malinau - Kandihin","ruas_071","malinau - kandihin",true,"direct","Malinau - Kandihin",""
"Sungai Raya - Jambu Hulu/Paku","ruas_072","sungai raya - jambu hulu paku",true,"direct","Sungai Raya - Jambu Hulu/Paku",""
"Teluk Pinang - Padang Rasau","ruas_073","teluk pinang - padang rasau",true,"direct","Teluk Pinang - Padang Rasau",""
"Jl. Papagaran/Pelangsatan","ruas_074","papagaran palangsatan",true,"alias","Papagaran/Palangsatan",""
"Tanayung - Simpang Ambarai","ruas_075","tanayung - simp ambarai",true,"te_local_alias","Tanayung - Simp. Ambarai",""
"Tabihi - Telaga Langsat","ruas_076","tabihi - telaga langsat",true,"direct","Tabihi - Telaga Langsat",""
"Jl. Rambai - Bariang","ruas_077","rambai - bariang",true,"direct","Rambai - Bariang",""
