asb_id|no|kelompok_barang|kode_barang|uraian|spesifikasi|satuan|harga_rp|kelompok_belanja|treatment_family|surface_type|width_m|layer_thickness_cm
asb_0001|1|"Jalan Kabupaten"|"1.3.04.01.01.0003"|"Jalan Tipe A1"|"Lebar = 3 m, HRS-Base = 3,5 cm"|"Meter"|723000|"Belanja Modal Jalan Kabupaten"||HRS-Base|3|3.5
asb_0002|2|"Jalan Kabupaten"|"1.3.04.01.01.0003"|"Jalan Tipe A2"|"Lebar = 3,5 m, HRS-Base = 3,5 cm"|"Meter"|834000|"Belanja Modal Jalan Kabupaten"||HRS-Base|3.5|3.5
asb_0003|3|"Jalan Kabupaten"|"1.3.04.01.01.0003"|"Jalan Tipe A3"|"Lebar = 4 m, HRS-Base = 3,5 cm"|"Meter"|947000|"Belanja Modal Jalan Kabupaten"||HRS-Base|4|3.5
asb_0004|4|"Jalan Kabupaten"|"1.3.04.01.01.0003"|"Jalan Tipe A4"|"Lebar = 4,5 m, HRS-Base = 3,5 cm"|"Meter"|1059000|"Belanja Modal Jalan Kabupaten"||HRS-Base|4.5|3.5
asb_0005|5|"Jalan Kabupaten"|"1.3.04.01.01.0003"|"Jalan Tipe A5"|"Lebar = 5 m, HRS-Base = 3,5 cm"|"Meter"|1323000|"Belanja Modal Jalan Kabupaten"||HRS-Base|5|3.5
asb_0006|6|"Jalan Kabupaten"|"1.3.04.01.01.0003"|"Jalan Tipe A6"|"Lebar = 3 m, HRS-Base = 4 cm"|"Meter"|814000|"Belanja Modal Jalan Kabupaten"||HRS-Base|3|4
asb_0007|7|"Jalan Kabupaten"|"1.3.04.01.01.0003"|"Jalan Tipe A7"|"Lebar = 3,5 m, HRS-Base = 4 cm"|"Meter"|940000|"Belanja Modal Jalan Kabupaten"||HRS-Base|3.5|4
asb_0008|8|"Jalan Kabupaten"|"1.3.04.01.01.0003"|"Jalan Tipe A8"|"Lebar = 4 m, HRS-Base = 4 cm"|"Meter"|1068000|"Belanja Modal Jalan Kabupaten"||HRS-Base|4|4
asb_0009|9|"Jalan Kabupaten"|"1.3.04.01.01.0003"|"Jalan Tipe A9"|"Lebar = 4,5 m, HRS-Base = 4 cm"|"Meter"|1196000|"Belanja Modal Jalan Kabupaten"||HRS-Base|4.5|4
asb_0010|10|"Jalan Kabupaten"|"1.3.04.01.01.0003"|"Jalan Tipe A10"|"Lebar = 5 m, HRS-Base = 4 cm"|"Meter"|1323000|"Belanja Modal Jalan Kabupaten"||HRS-Base|5|4
asb_0011|11|"Jalan Kabupaten"|"1.3.04.01.01.0003"|"Jalan Tipe A11"|"Lebar = 3 m, HRS-Base = 5 cm"|"Meter"|995000|"Belanja Modal Jalan Kabupaten"||HRS-Base|3|5
asb_0012|12|"Jalan Kabupaten"|"1.3.04.01.01.0003"|"Jalan Tipe A12"|"Lebar = 3,5 m, HRS-Base = 5 cm"|"Meter"|1153000|"Belanja Modal Jalan Kabupaten"||HRS-Base|3.5|5
