nomor_ruas,nama_ruas_summary,nama_ruas_aggregate,mantap_summary_m,mantap_aggregate_m,tidak_mantap_summary_m,tidak_mantap_aggregate_m,status
001,Jl. Pangeran Antasari - Loklua,Jl. Pangeran Antasari - Loklua,360.0,360.0,200.0,200.0,ok
002,Jl. Soeprapto - Jl. H.M Rusli,Jl. Soeprapto - Jl. H.M Rusli,520.0,520.0,0.0,0,ok
003,Jl. Pasar Kandangan - Oprit Jembt. Loklua,Jl. Pasar Kandangan - Oprit Jembt. Loklua,280.0,280.0,0.0,0,ok
004,Jl. Soetoyo - Teluk Mesjid,Jl. Soetoyo - Teluk Mesjid,260.0,260.0,0.0,0,ok
005,Jl. Teluk Mesjid - Sp. 4 Muara Banta,Jl. Teluk Mesjid - Sp. 4 Muara Banta,1230.0,1230.0,200.0,200.0,ok
006,Jl. Merah Johansyah - Jl. Melati,Jl. Merah Johansyah - Jl. Melati,820.0,820.0,0.0,0,ok
007,Jl. Menuju Stadion 2 Desember,Jl. Menuju Stadion 2 Desember,290.0,290.0,0.0,0,ok
008,Jl. Aluh Idut,Jl. Aluh Idut,1340.0,1340.0,0.0,0,ok
009,Jl. Panglima Batur,Jl. Panglima Batur,1090.0,1090.0,0.0,0,ok
010,Jl. Nusa Indah,Jl. Nusa Indah,380.0,380.0,0.0,0,ok
011,Jl. Anggrek,Jl. Anggrek,230.0,230.0,0.0,0,ok
012,Jl. Kenanga,Jl. Kenanga,230.0,230.0,0.0,0,ok
013,Jl. Mawar,Jl. Mawar (Kandangan Utara),230.0,230.0,0.0,0,ok
014,Jl. Kamboja,Jl. Kamboja,210.0,210.0,0.0,0,ok
015,Jl. Dahlia,Jl. Dahlia,0.0,0,180.0,180.0,ok
016,Jl. KS. Tubun,Jl. KS. Tubun,460.0,460.0,500.0,500.0,ok
017,Jl. Pemuda,Jl. Pemuda,260.0,260.0,0.0,0,ok
018,Jl. Parindra,Jl. Parindra,280.0,280.0,0.0,0,ok
019,Jl. Wahab Syahrani,Jl. Wahab Syahrani,120.0,120.0,0.0,0,ok
020,Jl. Musyawarah,Jl. Musyawarah (Kandangan),320.0,320.0,0.0,0,ok
021,Jl. Sekolah Islam,Jl. Sekolah Islam (Kandangan Barat),200.0,200.0,0.0,0,ok
022,Jl. Rahmah Bahran,Jl. Rahmah Bahran,220.0,220.0,0.0,0,ok
023,Jl. Brigjen Katamso,Jl. Brigjen Katamso,350.0,350.0,0.0,0,ok
024,Jl. Kolonel Sugiono,Jl. Kolonel Sugiono,220.0,220.0,0.0,0,ok
025,Singakarsa - Palas,Singakarsa - Palas,2800.0,2800.0,2520.0,2520.0,ok
026,Singakarsa - Getek,Singakarsa - Getek,200.0,200.0,0.0,0,ok
027,Parincahan - Singakarsa (Jl. Harapan),Parincahan - Singakarsa (Jl. Harapan),660.0,660.0,0.0,0,ok
028,Budi Bakti - Tiga Desember,Budi Bakti - Tiga Desember,810.0,810.0,0.0,0,ok
029,Jl. Jafri Zamzam,Jl. Jafri Zamzam,670.0,670.0,400.0,400.0,ok
030,Sungai Damang - Amawang Kiri,Sungai Damang - Amawang Kiri,2310.0,2310.0,200.0,200.0,ok
031,Amawang Muka - Getek,Amawang Muka - Getek,4910.0,4910.0,500.0,500.0,ok
032,Amawang Kanan - Wasah Hulu,Amawang Kanan - Wasah Hulu,2470.0,2470.0,700.0,700.0,ok
033,Jl. DI. Panjaitan - Loklua,Jl. DI. Panjaitan - Loklua,410.0,410.0,0.0,0,ok
034,Jl. Jend. Sudirman,Jl. Jend. Sudirman,2440.0,2440.0,0.0,0,ok
035,Jl. AES Nasution,Jl. AES Nasution,240.0,240.0,0.0,0,ok
036,Tembok Lama - Loklua,Tembok Lama - Loklua,440.0,440.0,400.0,400.0,ok
037,Jl. Kesehatan - Komp. Rmh Dokter,Jl. Kesehatan - Komp. Rmh Dokter,280.0,280.0,0.0,0,ok
038,Jl. Samping Bappeda - Mesjid Darul Halik,Jl. Samping Bappeda - Mesjid Darul Halik,0.0,0,190.0,190.0,ok
039,Jl.  Bina Bakat,Jl.  Bina Bakat,240.0,240.0,0.0,0,ok
040,Baluti - Jambu Hulu (Paku),Baluti - Jambu Hulu (Paku),2300.0,2300.0,1770.0,1770.0,ok
041,Sp. 3 Baluti - Amawang,Sp. 3 Baluti - Amawang,1470.0,1470.0,100.0,100.0,ok
042,Sei Kupang Utara - Simp. Empat Lungau,Sei Kupang Utara - Simp. Empat Lungau,2360.0,2360.0,0.0,0,ok
043,Sp. Empat Lungau - Bangkau,Sp. Empat Lungau - Bangkau,2200.0,2200.0,5900.0,5900.0,ok
044,Sp. Empat Lungau - Garis,Sp. Empat Lungau - Garis,1600.0,1600.0,6590.0,6590.0,ok
045,Gambir - Sp. Empat Lungau,Gambir - Sp. Empat Lungau,1500.0,1500.0,1450.0,1450.0,ok
046,Bariang - Getek,Bariang - Getek,400.0,400.0,840.0,840.0,ok
047,Muara Banta - Karang Jawa,Muara Banta - Karang Jawa,1590.0,1590.0,0.0,0,ok
048,Sungai Paring - Sei Hanyar Pantai Ulin,Sungai Paring - Sei Hanyar Pantai Ulin,1400.0,1400.0,4450.0,4450.0,ok
049,Kandangan Hulu - Sp. Tabihi,Kandangan Hulu - Sp. Tabihi,1250.0,1250.0,0.0,0,ok
050,Banyu Barau - Sei Kalang,Banyu Barau - Sei Kalang,2100.0,2100.0,0.0,0,ok
051,Tibung Raya - Asam Cangkuk,Tibung Raya - Asam Cangkuk,860.0,860.0,0.0,0,ok
052,Gambah Dalam - Rantauan,Gambah Dalam - Rantauan,1020.0,1020.0,500.0,500.0,ok
053,Gambah Luar - Gambah Dalam,Gambah Luar - Gambah Dalam,990.0,990.0,300.0,300.0,ok
054,Pegangsaan Timur - Teluk Aman,Pegangsaan Timur - Teluk Aman,750.0,750.0,300.0,300.0,ok
055,Gambah Luar - Sungai Kudung,Gambah Luar - Sungai Kudung,390.0,390.0,500.0,500.0,ok
056,Bakarung Tengah - Karang Jawa,Bakarung Tengah - Karang Jawa,3070.0,3070.0,700.0,700.0,ok
057,Jl. Papagaran/Palangsatan,Jl. Papagaran/Palangsatan,300.0,300.0,700.0,700.0,ok
058,Jl. Tembok Kacil. Sei. Kudung,Jl. Tembok Kacil. Sei. Kudung,300.0,300.0,70.0,70.0,ok
059,Jl. Mesjid Quba,Jl. Mesjid Quba,210.0,210.0,0.0,0,ok
060,Jl. Sungai Karuh,Jl. Sungai Karuh,1960.0,1960.0,0.0,0,ok
061,Rambai - Bariang,Rambai - Bariang,600.0,600.0,610.0,610.0,ok
062,Jangkang - Pantai Ulin,Jangkang - Pantai Ulin,1000.0,1000.0,690.0,690.0,ok
063,Jl. Padang Palas,Jl. Padang Palas,480.0,480.0,200.0,200.0,ok
064,Tibung Dalam - Teratai,Tibung Dalam - Teratai,420.0,420.0,100.0,100.0,ok
065,Jl. Kalaka Indah - Perumnas Tibung,Jl. Kalaka Indah - Perumnas Tibung,410.0,410.0,0.0,0,ok
066,Jl. Teratai Menuju Komplek Perumnas Hamalau,Jl. Teratai Menuju Komplek Perumnas Hamalau,410.0,410.0,0.0,0,ok
067,Teluk Pinang - Baluti,Teluk Pinang - Baluti,1640.0,1640.0,0.0,0,ok
068,Tibung Raya - Hamalau Dalam,Tibung Raya - Hamalau Dalam,800.0,800.0,110.0,110.0,ok
069,Jl. Baiturrahim Parincahan,Jl. Baiturrahim Parincahan,300.0,300.0,1120.0,1120.0,ok
070,Jl. Newangsekarti - Ds. Gambah Luar Muka,Jl. Newangsekarti - Ds. Gambah Luar Muka,290.0,290.0,0.0,0,ok
071,Jl. Tembok Baru (Asam Cangkok),Jl. Tembok Baru (Asam Cangkok),400.0,400.0,100.0,100.0,ok
072,Sungai Paring - Toba,Sungai Paring - Toba,300.0,300.0,540.0,540.0,ok
073,Jl. Tembok Baru - Ds. Baluti,Jl. Tembok Baru - Ds. Baluti,40.0,40.0,100.0,100.0,ok
074,Jl. H. Jarkasi - Ds. Sungai Paring,Jl. H. Jarkasi - Ds. Sungai Paring,100.0,100.0,20.0,20.0,ok
075,Bariang - Patigan,Bariang - Patigan,1630.0,1630.0,0.0,0,ok
076,Gambah Dalam Barat - Mahulung,Gambah Dalam Barat - Mahulung,1920.0,1920.0,0.0,0,ok
077,Jl. Suriangpati - Gambah Dalam Barat,Jl. Suriangpati - Gambah Dalam Barat,200.0,200.0,2620.0,2620.0,ok
078,Jl. Menuju SMP 7 - Ds. Gambah Dalam,Jl. Menuju SMP 7 - Ds. Gambah Dalam,400.0,400.0,600.0,600.0,ok
079,Telaga Banta - Patigan,Telaga Banta - Patigan,640.0,640.0,0.0,0,ok
080,Jl. Nomura,Jl. Nomura,410.0,410.0,0.0,0,ok
081,Jl. Lorong Bupati,Jl. Lorong Bupati,390.0,390.0,0.0,0,ok
082,Jl. Biti - Sungai Kupang (Karya Bakti TNI),Jl. Biti - Sungai Kupang (Karya Bakti TNI),800.0,800.0,1020.0,1020.0,ok
083,Jl. Palajau - Ds. Baluti,Jl. Palajau - Ds. Baluti,400.0,400.0,880.0,880.0,ok
084,Jl. RS. Hasan Basry II,Jl. RS. Hasan Basry II,100.0,100.0,0.0,0,ok
085,Tajun - Sp.3 Muara Paring Agung,Tajun - Sp.3 Muara Paring Agung,4970.0,4970.0,0.0,0,ok
086,Hamalau - Anjiran,Hamalau - Anjiran,800.0,800.0,100.0,100.0,ok
087,Tanjungan - Sp. 10 Batang Kulur - Sungai Kali,Tanjungan - Sp. 10 Batang Kulur - Sungai Kali,7000.0,7000.0,300.0,300.0,ok
088,Sungai Raya Selatan - Sarang Halang,Sungai Raya Selatan - Sarang Halang,320.0,320.0,2300.0,2300.0,ok
089,Sp. Batang Kulur Kiri - Tatas,Sp. Batang Kulur Kiri - Tatas,570.0,570.0,1800.0,1800.0,ok
090,Taal Batang Kulur - Sp. 3 Muara Prg Agung,Taal Batang Kulur - Sp. 3 Muara Prg Agung,2300.0,2300.0,1820.0,1820.0,ok
091,Batang Kulur Kanan - Sarangan,Batang Kulur Kanan - Sarangan,1680.0,1680.0,500.0,500.0,ok
092,Bumi Berkat - Mungkur Galah,Bumi Berkat - Mungkur Galah,1200.0,1200.0,310.0,310.0,ok
093,Taal Jarau - Sp. Baru/Tampang,Taal Jarau - Sp. Baru/Tampang,5650.0,5650.0,0.0,0,ok
094,Sungai Raya - Jambu Hulu/Paku,Sungai Raya - Jambu Hulu/Paku,5170.0,5170.0,0.0,0,ok
095,Sungai Raya Selatan - Malutu - Goa Berangin,Sungai Raya Selatan - Malutu - Goa Berangin,3900.0,3900.0,2450.0,2450.0,ok
096,Sp. 4 Baru/Tampang - Sp. Bilui Pamujaan,Sp. 4 Baru/Tampang - Sp. Bilui Pamujaan,2570.0,2570.0,1200.0,1200.0,ok
097,Asam Cangkuk - Telaga Bidadari,Asam Cangkuk - Telaga Bidadari,230.0,230.0,600.0,600.0,ok
098,Hamalau - Pahampangan,Hamalau - Pahampangan,780.0,780.0,0.0,0,ok
099,Ida Manggala - Padang Makmur,Ida Manggala - Padang Makmur,900.0,900.0,2790.0,2790.0,ok
100,Simpang Hamalau - Teluk Pinang,Simpang Hamalau - Teluk Pinang,480.0,480.0,200.0,200.0,ok
101,Teluk Pinang - Pahampangan Utara,Teluk Pinang - Pahampangan Utara,2220.0,2220.0,0.0,0,ok
102,Hamalau - Telaga Bidadari - Wasah Hilir,Hamalau - Telaga Bidadari - Wasah Hilir,2040.0,2040.0,2900.0,2900.0,ok
103,Karasikan - Sarang Halang,Karasikan - Sarang Halang,900.0,900.0,1000.0,1000.0,ok
104,Tanjungan - Sp. 3 Sakijang,Tanjungan - Sp. 3 Sakijang,100.0,100.0,1490.0,1490.0,ok
105,Sarang Halang Padang - Sp. Batang Kulur,Sarang Halang Padang - Sp. Batang Kulur,1610.0,1610.0,500.0,500.0,ok
106,Hamalau - Ganda,Hamalau - Ganda,500.0,500.0,670.0,670.0,ok
107,Tamiyang - Ds. Tamiyang (Eks TMMD),Tamiyang - Ds. Tamiyang (Eks TMMD),0.0,0,2040.0,2040.0,ok
108,Tanah Bangkang Menuju Balai Benih Ikan,Tanah Bangkang Menuju Balai Benih Ikan,200.0,200.0,460.0,460.0,ok
109,Karang Intan - Tanah Bangkang,Karang Intan - Tanah Bangkang,1110.0,1110.0,0.0,0,ok
110,Jl. Haritas (PT. Pertani),Jl. Haritas (PT. Pertani),640.0,640.0,0.0,0,ok
111,Paharuangan - Sei. Raya Selatan,Paharuangan - Sei. Raya Selatan,1400.0,1400.0,560.0,560.0,ok
112,Jl. Bangga TMMD,Jl. Bangga TMMD,0.0,0,790.0,790.0,ok
113,Batang Kulur Kiri - Durian Landung,Batang Kulur Kiri - Durian Landung,550.0,550.0,0.0,0,ok
114,Jl. Taminung,Jl. Taminung,2000.0,2000.0,20.0,20.0,ok
115,Matang Gadung - Halalang,Matang Gadung - Halalang,420.0,420.0,0.0,0,ok
116,Sungai Raya Utara - Teluk Pinang,Sungai Raya Utara - Teluk Pinang,1500.0,1500.0,200.0,200.0,ok
117,Jl. Mangunang - Ds. Sungai Raya Utara,Jl. Mangunang - Ds. Sungai Raya Utara,700.0,700.0,0.0,0,ok
118,Hamalau - Asam Cangkok,Hamalau - Asam Cangkok,1430.0,1430.0,0.0,0,ok
119,Hariti - Sungai Raya Selatan,Hariti - Sungai Raya Selatan,400.0,400.0,2260.0,2260.0,ok
120,Mangaris - Limau Manis,Mangaris - Limau Manis,0.0,0,4100.0,4100.0,ok
121,Jl. Munggu Raya - Ds. Hariti,Jl. Munggu Raya - Ds. Hariti,460.0,460.0,0.0,0,ok
122,Paharuangan - Asam Dua,Paharuangan - Asam Dua,200.0,200.0,710.0,710.0,ok
123,Asam Seranggan - Asam Tamiyang,Asam Seranggan - Asam Tamiyang,1020.0,1020.0,0.0,0,ok
124,Jl. Papancan - Ds. Tanah Bangkang,Jl. Papancan - Ds. Tanah Bangkang,1460.0,1460.0,0.0,0,ok
125,Jl. Baru - Asam Desa Baru,Jl. Baru - Asam Desa Baru,1120.0,1120.0,200.0,200.0,ok
126,Jl. Sungai Namang - Ds. Tanah Bangkang,Jl. Sungai Namang - Ds. Tanah Bangkang,0.0,0,730.0,730.0,ok
127,Jarau - Parandakan,Jarau - Parandakan,0.0,0,700.0,700.0,ok
128,Mungkur Galah - Lokpaikat,Mungkur Galah - Lokpaikat,200.0,200.0,510.0,510.0,ok
129,Batang Kulur Kanan - Bumi Berkat (Jl. Kisung),Batang Kulur Kanan - Bumi Berkat (Jl. Kisung),0.0,0,1610.0,1610.0,ok
130,Batang Kulur Kanan - Batang Kulur Kiri,Batang Kulur Kanan - Batang Kulur Kiri,0.0,0,820.0,820.0,ok
131,Jl. Manggis - Ds. Baru,Jl. Manggis - Ds. Baru,0.0,0,1280.0,1280.0,ok
132,Jl. TPA - Ds. Sungai Raya Selatan,Jl. TPA - Ds. Sungai Raya Selatan,850.0,850.0,0.0,0,ok
133,Jl. Pembangunan - Ds. Sungai Raya Utara,Jl. Pembangunan - Ds. Sungai Raya Utara,350.0,350.0,600.0,600.0,ok
134,Jl. Kalaka Dayuh - Ds. Sungai Raya Utara,Jl. Kalaka Dayuh - Ds. Sungai Raya Utara,0.0,0,430.0,430.0,ok
135,Teluk Pinang - Padang Rasau,Teluk Pinang - Padang Rasau,1200.0,1200.0,980.0,980.0,ok
136,Tanayung - Simp. Ambarai,Tanayung - Simp. Ambarai,1210.0,1210.0,400.0,400.0,ok
137,Tabihi - Telaga Langsat,Tabihi - Telaga Langsat,8350.0,8350.0,300.0,300.0,ok
138,Karang Jawa -Ambarai - Sungai Bungur,Karang Jawa -Ambarai - Sungai Bungur,1840.0,1840.0,2200.0,2200.0,ok
139,Ambarai - Madang,Ambarai - Madang,1740.0,1740.0,0.0,0,ok
140,Padang Batung - Batulaki - Malilingin,Padang Batung - Batulaki - Malilingin,2480.0,2480.0,6400.0,6400.0,ok
141,Malilingin - Lokbahan - Paniungan,Malilingin - Lokbahan - Paniungan,8300.0,8300.0,2360.0,2360.0,ok
142,Mawangi - Bukuanin - Telaga Langsat,Mawangi - Bukuanin - Telaga Langsat,8120.0,8120.0,6100.0,6100.0,ok
143,Mandapai - Madang,Mandapai - Madang,2920.0,2920.0,2900.0,2900.0,ok
144,Kaliring - Sp. Padang Batung,Kaliring - Sp. Padang Batung,2400.0,2400.0,2100.0,2100.0,ok
145,Pagar  Haur - Malutu,Pagar  Haur - Malutu,220.0,220.0,0.0,0,ok
146,Simpang Malutu - Pahampangan,Simpang Malutu - Pahampangan,0.0,0,4510.0,4510.0,ok
147,Simpang Malutu - Tambak,Simpang Malutu - Tambak,1800.0,1800.0,1070.0,1070.0,ok
148,Pagat Batu - Muara Hariang,Pagat Batu - Muara Hariang,2570.0,2570.0,700.0,700.0,ok
149,Paku (Jambu Hulu) - Ganda,Paku (Jambu Hulu) - Ganda,0.0,0,1880.0,1880.0,ok
150,Sp.3 Bukuanin - Riam Talo,Sp.3 Bukuanin - Riam Talo,1000.0,1000.0,2120.0,2120.0,ok
151,Sp.3 Bukuanin - Tayub,Sp.3 Bukuanin - Tayub,600.0,600.0,2790.0,2790.0,ok
152,Madang - Ambutun,Madang - Ambutun,2040.0,2040.0,900.0,900.0,ok
153,Jl. Monumen 17 Mei - Mandapai,Jl. Monumen 17 Mei - Mandapai,60.0,60.0,0.0,0,ok
154,Batu Laki - Muara Pipii,Batu Laki - Muara Pipii,900.0,900.0,3370.0,3370.0,ok
155,Muara Pipii - Tambak Pipii,Muara Pipii - Tambak Pipii,0.0,0,4650.0,4650.0,ok
156,Tambak Pipii - Malilingin,Tambak Pipii - Malilingin,980.0,980.0,3900.0,3900.0,ok
157,Malilingin - Muara Hariang,Malilingin - Muara Hariang,0.0,0,4570.0,4570.0,ok
158,Mawangi - Pariangan,Mawangi - Pariangan,1250.0,1250.0,1100.0,1100.0,ok
159,Jambu Hulu - Paku Pantai,Jambu Hulu - Paku Pantai,1500.0,1500.0,120.0,120.0,ok
160,Sungai Minting - Ds. Malutu,Sungai Minting - Ds. Malutu,470.0,470.0,0.0,0,ok
161,Padang Rasau (Tambak Tamiang) - Paku Pantai,Padang Rasau (Tambak Tamiang) - Paku Pantai,1930.0,1930.0,300.0,300.0,ok
162,Jl. Galuntang Tayub - Ds. Madang,Jl. Galuntang Tayub - Ds. Madang,2360.0,2360.0,0.0,0,ok
163,Jl. Menuju SMPN Malilingin,Jl. Menuju SMPN Malilingin,350.0,350.0,100.0,100.0,ok
164,Jl. Samping Mesjid Mandapai,Jl. Samping Mesjid Mandapai,140.0,140.0,100.0,100.0,ok
165,Muara Hariang - Bayumbung,Muara Hariang - Bayumbung,300.0,300.0,3700.0,3700.0,ok
166,Tambak Pipii - Batu Ampar,Tambak Pipii - Batu Ampar,0.0,0,1980.0,1980.0,ok
167,Bakarung - Rantauan,Bakarung - Rantauan,2130.0,2130.0,900.0,900.0,ok
168,Taniran Selatan - Rantauan,Taniran Selatan - Rantauan,1110.0,1110.0,0.0,0,ok
