nomor_ruas,nama_ruas_raw,sta_awal_raw,sta_akhir_raw,sta_start_m,sta_end_m,panjang_m,baik_m,sedang_m,rusak_ringan_m,rusak_berat_m,mantap_m,tidak_mantap_m,dominant_condition,segment_status,jenis_penanganan_raw,jenis_penanganan_norm,surface_code,surface_label,lebar_m,tahun_survei
001,Jl. Pangeran Antasari - Loklua,0,100,0,100,100.0,0.0,0.0,100.0,0.0,0.0,100.0,rusak_ringan,tidak_mantap,Periodic,periodic,A,Aspal,12.0,2025
001,Jl. Pangeran Antasari - Loklua,100,200,100,200,100.0,0.0,0.0,100.0,0.0,0.0,100.0,rusak_ringan,tidak_mantap,Periodic,periodic,A,Aspal,12.0,2025
001,Jl. Pangeran Antasari - Loklua,200,300,200,300,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,12.0,2025
001,Jl. Pangeran Antasari - Loklua,300,400,300,400,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,12.0,2025
001,Jl. Pangeran Antasari - Loklua,400,500,400,500,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,12.0,2025
001,Jl. Pangeran Antasari - Loklua,500,560,500,560,60.0,0.0,60.0,0.0,0.0,60.0,0.0,sedang,mantap,Routine,routine,A,Aspal,12.0,2025
002,Jl. Soeprapto - Jl. H.M Rusli,0,100,0,100,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,6.0,2025
002,Jl. Soeprapto - Jl. H.M Rusli,100,200,100,200,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,6.0,2025
002,Jl. Soeprapto - Jl. H.M Rusli,200,300,200,300,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,6.0,2025
002,Jl. Soeprapto - Jl. H.M Rusli,300,400,300,400,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,6.0,2025
002,Jl. Soeprapto - Jl. H.M Rusli,400,500,400,500,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,6.0,2025
002,Jl. Soeprapto - Jl. H.M Rusli,500,520,500,520,20.0,0.0,20.0,0.0,0.0,20.0,0.0,sedang,mantap,Routine,routine,A,Aspal,6.0,2025
003,Jl. Pasar Kandangan - Oprit Jembt. Loklua,0,100,0,100,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,B,Beton,6.0,2025
003,Jl. Pasar Kandangan - Oprit Jembt. Loklua,100,200,100,200,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,B,Beton,6.0,2025
003,Jl. Pasar Kandangan - Oprit Jembt. Loklua,200,280,200,280,80.0,80.0,0.0,0.0,0.0,80.0,0.0,baik,mantap,Routine,routine,B,Beton,6.0,2025
004,Jl. Soetoyo - Teluk Mesjid,0,100,0,100,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,5.0,2025
004,Jl. Soetoyo - Teluk Mesjid,100,200,100,200,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,5.0,2025
004,Jl. Soetoyo - Teluk Mesjid,200,260,200,260,60.0,60.0,0.0,0.0,0.0,60.0,0.0,baik,mantap,Routine,routine,A,Aspal,5.0,2025
005,Jl. Teluk Mesjid - Sp. 4 Muara Banta,0,100,0,100,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,5.0,2025
005,Jl. Teluk Mesjid - Sp. 4 Muara Banta,100,200,100,200,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,5.0,2025
005,Jl. Teluk Mesjid - Sp. 4 Muara Banta,200,300,200,300,100.0,0.0,0.0,100.0,0.0,0.0,100.0,rusak_ringan,tidak_mantap,Periodic,periodic,A,Aspal,5.0,2025
005,Jl. Teluk Mesjid - Sp. 4 Muara Banta,300,400,300,400,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,5.0,2025
005,Jl. Teluk Mesjid - Sp. 4 Muara Banta,400,500,400,500,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,5.0,2025
005,Jl. Teluk Mesjid - Sp. 4 Muara Banta,500,600,500,600,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,5.0,2025
005,Jl. Teluk Mesjid - Sp. 4 Muara Banta,600,700,600,700,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,5.0,2025
005,Jl. Teluk Mesjid - Sp. 4 Muara Banta,700,800,700,800,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,5.0,2025
