nomor_ruas,nama_ruas_raw,mantap_m,tidak_mantap_m,tahun_survei
001,Jl. Pangeran Antasari - Loklua,360.0,200.0,2025
002,Jl. Soeprapto - Jl. H.M Rusli,520.0,0.0,2025
003,Jl. Pasar Kandangan - Oprit Jembt. Loklua,280.0,0.0,2025
004,Jl. Soetoyo - Teluk Mesjid,260.0,0.0,2025
005,Jl. Teluk Mesjid - Sp. 4 Muara Banta,1230.0,200.0,2025
006,Jl. Merah Johansyah - Jl. Melati,820.0,0.0,2025
007,Jl. Menuju Stadion 2 Desember,290.0,0.0,2025
008,Jl. Aluh Idut,1340.0,0.0,2025
009,Jl. Panglima Batur,1090.0,0.0,2025
010,Jl. Nusa Indah,380.0,0.0,2025
011,Jl. Anggrek,230.0,0.0,2025
012,Jl. Kenanga,230.0,0.0,2025
013,Jl. Mawar,230.0,0.0,2025
014,Jl. Kamboja,210.0,0.0,2025
015,Jl. Dahlia,0.0,180.0,2025
016,Jl. KS. Tubun,460.0,500.0,2025
017,Jl. Pemuda,260.0,0.0,2025
018,Jl. Parindra,280.0,0.0,2025
019,Jl. Wahab Syahrani,120.0,0.0,2025
020,Jl. Musyawarah,320.0,0.0,2025
021,Jl. Sekolah Islam,200.0,0.0,2025
022,Jl. Rahmah Bahran,220.0,0.0,2025
023,Jl. Brigjen Katamso,350.0,0.0,2025
024,Jl. Kolonel Sugiono,220.0,0.0,2025
025,Singakarsa - Palas,2800.0,2520.0,2025
026,Singakarsa - Getek,200.0,0.0,2025
027,Parincahan - Singakarsa (Jl. Harapan),660.0,0.0,2025
028,Budi Bakti - Tiga Desember,810.0,0.0,2025
029,Jl. Jafri Zamzam,670.0,400.0,2025
030,Sungai Damang - Amawang Kiri,2310.0,200.0,2025
031,Amawang Muka - Getek,4910.0,500.0,2025
032,Amawang Kanan - Wasah Hulu,2470.0,700.0,2025
033,Jl. DI. Panjaitan - Loklua,410.0,0.0,2025
034,Jl. Jend. Sudirman,2440.0,0.0,2025
035,Jl. AES Nasution,240.0,0.0,2025
036,Tembok Lama - Loklua,440.0,400.0,2025
037,Jl. Kesehatan - Komp. Rmh Dokter,280.0,0.0,2025
038,Jl. Samping Bappeda - Mesjid Darul Halik,0.0,190.0,2025
039,Jl.  Bina Bakat,240.0,0.0,2025
040,Baluti - Jambu Hulu (Paku),2300.0,1770.0,2025
041,Sp. 3 Baluti - Amawang,1470.0,100.0,2025
042,Sei Kupang Utara - Simp. Empat Lungau,2360.0,0.0,2025
043,Sp. Empat Lungau - Bangkau,2200.0,5900.0,2025
044,Sp. Empat Lungau - Garis,1600.0,6590.0,2025
045,Gambir - Sp. Empat Lungau,1500.0,1450.0,2025
046,Bariang - Getek,400.0,840.0,2025
047,Muara Banta - Karang Jawa,1590.0,0.0,2025
048,Sungai Paring - Sei Hanyar Pantai Ulin,1400.0,4450.0,2025
049,Kandangan Hulu - Sp. Tabihi,1250.0,0.0,2025
050,Banyu Barau - Sei Kalang,2100.0,0.0,2025
051,Tibung Raya - Asam Cangkuk,860.0,0.0,2025
052,Gambah Dalam - Rantauan,1020.0,500.0,2025
053,Gambah Luar - Gambah Dalam,990.0,300.0,2025
054,Pegangsaan Timur - Teluk Aman,750.0,300.0,2025
055,Gambah Luar - Sungai Kudung,390.0,500.0,2025
056,Bakarung Tengah - Karang Jawa,3070.0,700.0,2025
