dd2_row_index,dd2_road_name_raw,dd2_normalized_key,canonical_road_name,canonical_road_key,match_method,confidence_or_reason,notes
1,Jl. Pangeran Antasari - Loklua,pangeran antasari - loklua,Pangeran Antasari - Loklua,pangeran antasari - loklua,direct,,
2,Jl. Soeprapto - Jl. H.M Rusli,soeprapto - h m rusli,Soeprapto - H.M Rusli,soeprapto - h m rusli,direct,,
3,Jl. Pasar Kandangan - Oprit Jembt. Loklua,pasar kandangan - oprit jembt loklua,Pasar Kandangan - Oprit Jembt. Loklua,pasar kandangan - oprit jembt loklua,direct,,
4,Jl. Soetoyo - Teluk Mesjid,soetoyo - teluk mesjid,Soetoyo - Teluk Mesjid,soetoyo - teluk mesjid,direct,,
5,Jl. Teluk Mesjid - Sp. 4 Muara Banta,teluk mesjid - sp 4 muara banta,Teluk Mesjid - Sp. 4 Muara Banta,teluk mesjid - sp 4 muara banta,direct,,
6,Jl. Merah Johansyah - Jl. Melati,merah johansyah - melati,Merah Johansyah - Melati,merah johansyah - melati,direct,,
7,Jl. Menuju Stadion 2 Desember,menuju stadion 2 desember,Menuju Stadion 2 Desember,menuju stadion 2 desember,direct,,
8,Jl. Aluh Idut,aluh idut,Aluh Idut,aluh idut,direct,,
9,Jl. Panglima Batur,panglima batur,Panglima Batur,panglima batur,direct,,
10,Jl. Nusa Indah,nusa indah,Nusa Indah,nusa indah,direct,,
11,Jl. Anggrek,anggrek,Anggrek,anggrek,direct,,
12,Jl. Kenanga,kenanga,Kenanga,kenanga,direct,,
13,Jl. Mawar,mawar,Mawar (Kandangan Utara),mawar kandangan utara,occurrence_specific_manual,"Found in block with kecamatan=Kandangan. Surrounded by: Jl. Aluh Idut [Kandangan], Jl. Panglima Batur [Kandangan]...",
14,Jl. Kamboja,kamboja,Kamboja,kamboja,direct,,
15,Jl. Dahlia,dahlia,Dahlia,dahlia,direct,,
16,Jl. KS. Tubun,ks tubun,KS. Tubun,ks tubun,direct,,
17,Jl. Pemuda,pemuda,Pemuda,pemuda,direct,,
18,Jl. Parindra,parindra,Parindra,parindra,direct,,
19,Jl. Wahab Syahrani,wahab syahrani,Wahab Syahrani,wahab syahrani,direct,,
20,Jl. Musyawarah,musyawarah,Musyawarah (Kandangan),musyawarah kandangan,occurrence_specific_manual,"Found in block with kecamatan=Kandangan. Surrounded by: Jl. Dahlia [Kandangan], Jl. KS. Tubun [Kandangan]...",
21,Jl. Sekolah Islam,sekolah islam,Sekolah Islam (Kandangan Barat),sekolah islam kandangan barat,occurrence_specific_manual,"Found in block with kecamatan=Kandangan. Surrounded by: Jl. KS. Tubun [Kandangan], Jl. Pemuda [Kandangan]...",
22,Jl. Rahmah Bahran,rahmah bahran,Rahmah Bahran,rahmah bahran,direct,,
23,Jl. Brigjen Katamso,brigjen katamso,Brigjen Katamso,brigjen katamso,direct,,
24,Jl. Kolonel Sugiono,kolonel sugiono,Kolonel Sugiono,kolonel sugiono,direct,,
25,Singakarsa - Palas,singakarsa - palas,Singakarsa - Palas,singakarsa - palas,direct,,
26,Singakarsa - Getek,singakarsa - getek,Singakarsa - Getek,singakarsa - getek,direct,,
27,Parincahan - Singakarsa (Jl. Harapan),parincahan - singakarsa harapan,Parincahan - Singakarsa (Harapan),parincahan - singakarsa harapan,direct,,
28,Budi Bakti - Tiga Desember,budi bakti - tiga desember,Budi Bakti - Tiga Desember,budi bakti - tiga desember,direct,,
29,Jl. Jafri Zamzam,jafri zamzam,Jafri Zamzam,jafri zamzam,direct,,
30,Sungai Damang - Amawang Kiri,sei damang - amawang kiri,Sungai Damang - Amawang Kiri,sei damang - amawang kiri,direct,,
31,Amawang Muka - Getek,amawang muka - getek,Amawang Muka - Getek,amawang muka - getek,direct,,
32,Amawang Kanan - Wasah Hulu,amawang kanan - wasah hulu,Amawang Kanan - Wasah Hulu,amawang kanan - wasah hulu,direct,,
33,Jl. DI. Panjaitan - Loklua,di panjaitan - loklua,DI. Panjaitan - Loklua,di panjaitan - loklua,direct,,
34,Jl. Jend. Sudirman,jend sudirman,Jend. Sudirman,jend sudirman,direct,,
35,Jl. AES Nasution,aes nasution,AES Nasution,aes nasution,direct,,
36,Tembok Lama - Loklua,tembok lama - loklua,Tembok Lama - Loklua,tembok lama - loklua,direct,,
37,Jl. Kesehatan - Komp. Rmh Dokter,kesehatan - komp rmh dokter,Kesehatan - Komp. Rmh Dokter,kesehatan - komp rmh dokter,direct,,
38,Jl. Samping Bappeda - Mesjid Darul Halik,samping bappeda - mesjid darul halik,Samping Bappeda - Mesjid Darul Halik,samping bappeda - mesjid darul halik,direct,,
39,Jl.  Bina Bakat,bina bakat,Bina Bakat,bina bakat,direct,,
40,Baluti - Jambu Hulu (Paku),baluti - jambu hulu paku,Baluti - Jambu Hulu (Paku),baluti - jambu hulu paku,direct,,
41,Sp. 3 Baluti - Amawang,sp 3 baluti - amawang,Sp. 3 Baluti - Amawang,sp 3 baluti - amawang,direct,,
42,Sei Kupang Utara - Simp. Empat Lungau,sei kupang utara - simp empat lungau,Sei Kupang Utara - Simp. Empat Lungau,sei kupang utara - simp empat lungau,direct,,
43,Sp. Empat Lungau - Bangkau,sp empat lungau - bangkau,Sp. Empat Lungau - Bangkau,sp empat lungau - bangkau,direct,,
44,Sp. Empat Lungau - Garis,sp empat lungau - garis,Sp. Empat Lungau - Garis,sp empat lungau - garis,direct,,
45,Gambir - Sp. Empat Lungau,gambir - sp empat lungau,Gambir - Sp. Empat Lungau,gambir - sp empat lungau,direct,,
46,Bariang - Getek,bariang - getek,Bariang - Getek,bariang - getek,direct,,
47,Muara Banta - Karang Jawa,muara banta - karang jawa,Muara Banta - Karang Jawa,muara banta - karang jawa,direct,,
48,Sungai Paring - Sei Hanyar Pantai Ulin,sei paring - sei hanyar pantai ulin,Sungai Paring - Sei Hanyar Pantai Ulin,sei paring - sei hanyar pantai ulin,direct,,
49,Kandangan Hulu - Sp. Tabihi,kandangan hulu - sp tabihi,Kandangan Hulu - Sp. Tabihi,kandangan hulu - sp tabihi,direct,,
50,Banyu Barau - Sei Kalang,banyu barau - sei kalang,Banyu Barau - Sei Kalang,banyu barau - sei kalang,direct,,
51,Tibung Raya - Asam Cangkuk,tibung raya - asam cangkuk,Tibung Raya - Asam Cangkuk,tibung raya - asam cangkuk,direct,,
52,Gambah Dalam - Rantauan,gambah dalam - rantauan,Gambah Dalam - Rantauan,gambah dalam - rantauan,direct,,
53,Gambah Luar - Gambah Dalam,gambah luar - gambah dalam,Gambah Luar - Gambah Dalam,gambah luar - gambah dalam,direct,,
54,Pegangsaan Timur - Teluk Aman,pegangsaan timur - teluk aman,Pegangsaan Timur - Teluk Aman,pegangsaan timur - teluk aman,direct,,
55,Gambah Luar - Sungai Kudung,gambah luar - sei kudung,Gambah Luar - Sungai Kudung,gambah luar - sei kudung,direct,,
56,Bakarung Tengah - Karang Jawa,bakarung tengah - karang jawa,Bakarung Tengah - Karang Jawa,bakarung tengah - karang jawa,direct,,
57,Jl. Papagaran/Palangsatan,papagaran palangsatan,Papagaran/Palangsatan,papagaran palangsatan,direct,,
58,Jl. Tembok Kacil. Sei. Kudung,tembok kacil sei kudung,Tembok Kacil. Sei. Kudung,tembok kacil sei kudung,direct,,
59,Jl. Mesjid Quba,mesjid quba,Mesjid Quba,mesjid quba,direct,,
60,Jl. Sungai Karuh ,sei karuh,Sungai Karuh,sei karuh,direct,,
61,Rambai - Bariang,rambai - bariang,Rambai - Bariang,rambai - bariang,direct,,
62,Jangkang - Pantai Ulin,jangkang - pantai ulin,Jangkang - Pantai Ulin,jangkang - pantai ulin,direct,,
63,Jl. Padang Palas,padang palas,Padang Palas,padang palas,direct,,
64,Tibung Dalam - Teratai,tibung dalam - teratai,Tibung Dalam - Teratai,tibung dalam - teratai,direct,,
65,Jl. Kalaka Indah - Perumnas Tibung,kalaka indah - perumnas tibung,Kalaka Indah - Perumnas Tibung,kalaka indah - perumnas tibung,direct,,
66,Jl. Teratai Menuju Komplek Perumnas Hamalau,teratai menuju komp perumnas hamalau,Teratai Menuju Komplek Perumnas Hamalau,teratai menuju komp perumnas hamalau,direct,,
67,Teluk Pinang - Baluti,teluk pinang - baluti,Teluk Pinang - Baluti,teluk pinang - baluti,direct,,
68,Tibung Raya - Hamalau Dalam,tibung raya - hamalau dalam,Tibung Raya - Hamalau Dalam,tibung raya - hamalau dalam,direct,,
69,Jl. Baiturrahim Parincahan,baiturrahim parincahan,Baiturrahim Parincahan,baiturrahim parincahan,direct,,
70,Jl. Newangsekarti - Ds. Gambah Luar Muka,newangsekarti - desa gambah luar muka,Newangsekarti - Ds. Gambah Luar Muka,newangsekarti - desa gambah luar muka,direct,,
71,Jl. Tembok Baru (Asam Cangkok),tembok baru asam cangkok,Tembok Baru (Asam Cangkok),tembok baru asam cangkok,direct,,
72,Sungai Paring - Toba,sei paring - toba,Sungai Paring - Toba,sei paring - toba,direct,,
73,Jl. Tembok Baru - Ds. Baluti,tembok baru - desa baluti,Tembok Baru - Ds. Baluti,tembok baru - desa baluti,direct,,
74,Jl. H. Jarkasi - Ds. Sungai Paring,h jarkasi - desa sei paring,H. Jarkasi - Ds. Sungai Paring,h jarkasi - desa sei paring,direct,,
75,Bariang - Patigan,bariang - patigan,Bariang - Patigan,bariang - patigan,direct,,
76,Gambah Dalam Barat - Mahulung,gambah dalam barat - mahulung,Gambah Dalam Barat - Mahulung,gambah dalam barat - mahulung,direct,,
77,Jl. Suriangpati - Gambah Dalam Barat,suriangpati - gambah dalam barat,Suriangpati - Gambah Dalam Barat,suriangpati - gambah dalam barat,direct,,
78,Jl. Menuju SMP 7 - Ds. Gambah Dalam,menuju smp 7 - desa gambah dalam,Menuju SMP 7 - Ds. Gambah Dalam,menuju smp 7 - desa gambah dalam,direct,,
79,Telaga Banta - Patigan,telaga banta - patigan,Telaga Banta - Patigan,telaga banta - patigan,direct,,
80,Jl. Nomura ,nomura,Nomura,nomura,direct,,
81,Jl. Lorong Bupati,lorong bupati,Lorong Bupati,lorong bupati,direct,,
82,Jl. Biti - Sungai Kupang (Karya Bakti TNI) ,biti - sei kupang karya bakti tni,Biti - Sungai Kupang (Karya Bakti TNI),biti - sei kupang karya bakti tni,direct,,
83,Jl. Palajau - Ds. Baluti,palajau - desa baluti,Palajau - Ds. Baluti,palajau - desa baluti,direct,,
84,Jl. RS. Hasan Basry II,rs hasan basry ii,RS. Hasan Basry II,rs hasan basry ii,direct,,
85,Tajun - Sp.3 Muara Paring Agung,tajun - sp 3 muara paring agung,Tajun - Sp.3 Muara Paring Agung,tajun - sp 3 muara paring agung,direct,,
86,Hamalau - Anjiran,hamalau - anjiran,Hamalau - Anjiran,hamalau - anjiran,direct,,
87,Tanjungan - Sp. 10 Batang Kulur - Sungai Kali,tanjungan - sp 10 batang kulur - sei kali,Tanjungan - Sp. 10 Batang Kulur - Sungai Kali,tanjungan - sp 10 batang kulur - sei kali,direct,,
