no_ruas,nama_ruas_raw,kecamatan_dilalui,panjang_ruas_km,lebar_ruas_m,perkerasan_hotmix_km,perkerasan_lapen_makadam_km,perkerasan_beton_km,perkerasan_telford_kerikil_km,perkerasan_tanah_belum_tembus_km,kondisi_baik_km,kondisi_baik_pct,kondisi_sedang_km,kondisi_sedang_pct,kondisi_rusak_ringan_km,kondisi_rusak_ringan_pct,kondisi_rusak_berat_km,kondisi_rusak_berat_pct,non_mantap_pct,lhr,akses_npk,keterangan_tahun
001,Jl. Pangeran Antasari - Loklua,Kandangan,0.56,12,0.5600000023841858,0,0,0,0,0,0.0,0.36000001430511475,64.285717,0.20000000298023224,35.714286,0,0.0,35.714286,0,0,2025
002,Jl. Soeprapto - Jl. H.M Rusli,Kandangan,0.52,6,0.5199999809265137,0,0,0,0,0,0.0,0.5199999809265137,99.999996,0,0.0,0,0.0,0.0,0,0,2025
003,Jl. Pasar Kandangan - Oprit Jembt. Loklua,Kandangan,0.28,6,0,0,0.2800000011920929,0,0,0.2800000011920929,100.0,0,0.0,0,0.0,0,0.0,0.0,0,0,2025
004,Jl. Soetoyo - Teluk Mesjid,Kandangan,0.26,5,0.25999999046325684,0,0,0,0,0.25999999046325684,99.999996,0,0.0,0,0.0,0,0.0,0.0,0,0,2025
005,Jl. Teluk Mesjid - Sp. 4 Muara Banta,Kandangan,1.43,5,1.4299999475479126,0,0,0,0,0,0.0,1.2300000190734863,86.013987,0.20000000298023224,13.986014,0,0.0,13.986014,0,0,2025
006,Jl. Merah Johansyah - Jl. Melati,Kandangan,0.82,6,0.8199999928474426,0,0,0,0,0.8199999928474426,99.999999,0,0.0,0,0.0,0,0.0,0.0,0,0,2025
007,Jl. Menuju Stadion 2 Desember,Kandangan,0.29,12,0.28999999165534973,0,0,0,0,0,0.0,0.28999999165534973,99.999997,0,0.0,0,0.0,0.0,0,0,2025
008,Jl. Aluh Idut,Kandangan,1.34,5,1.340000033378601,0,0,0,0,0.5,37.313433,0.8399999737739563,62.686565,0,0.0,0,0.0,0.0,0,0,2025
009,Jl. Panglima Batur,Kandangan,1.09,5,1.090000033378601,0,0,0,0,0.800000011920929,73.394497,0.28999999165534973,26.605504,0,0.0,0,0.0,0.0,0,0,2025
010,Jl. Nusa Indah,Kandangan,0.38,5,0.3799999952316284,0,0,0,0,0.20000000298023224,52.63158,0.18000000715255737,47.368423,0,0.0,0,0.0,0.0,0,0,2025
011,Jl. Anggrek,Kandangan,0.23,3,0.23000000417232513,0,0,0,0,0.23000000417232513,100.000002,0,0.0,0,0.0,0,0.0,0.0,0,0,2025
012,Jl. Kenanga,Kandangan,0.23,3,0.23000000417232513,0,0,0,0,0.23000000417232513,100.000002,0,0.0,0,0.0,0,0.0,0.0,0,0,2025
013,Jl. Mawar,Kandangan,0.23,7,0.23000000417232513,0,0,0,0,0,0.0,0.23000000417232513,100.000002,0,0.0,0,0.0,0.0,0,0,2025
014,Jl. Kamboja,Kandangan,0.21,4,0.20999999344348907,0,0,0,0,0,0.0,0.20999999344348907,99.999997,0,0.0,0,0.0,0.0,0,0,2025
015,Jl. Dahlia,Kandangan,0.18,3,0.18000000715255737,0,0,0,0,0,0.0,0,0.0,0.10000000149011612,55.555556,0.07999999821186066,44.444443,100.0,0,0,2025
016,Jl. KS. Tubun,Kandangan,0.96,3,0.9599999785423279,0,0,0,0,0.1599999964237213,16.666666,0.30000001192092896,31.250001,0.5,52.083333,0,0.0,52.083333,0,0,2025
017,Jl. Pemuda,Kandangan,0.26,6,0.25999999046325684,0,0,0,0,0.25999999046325684,99.999996,0,0.0,0,0.0,0,0.0,0.0,0,0,2025
018,Jl. Parindra,Kandangan,0.28,6,0.2800000011920929,0,0,0,0,0.18000000715255737,64.285717,0.10000000149011612,35.714286,0,0.0,0,0.0,0.0,0,0,2025
019,Jl. Wahab Syahrani,Kandangan,0.12,6,0.11999999731779099,0,0,0,0,0,0.0,0.11999999731779099,99.999998,0,0.0,0,0.0,0.0,0,0,2025
020,Jl. Musyawarah,Kandangan,0.32,6,0.3199999928474426,0,0,0,0,0.10000000149011612,31.25,0.2199999988079071,68.75,0,0.0,0,0.0,0.0,0,0,2025
021,Jl. Sekolah Islam,Kandangan,0.2,6,0.20000000298023224,0,0,0,0,0.20000000298023224,100.000001,0,0.0,0,0.0,0,0.0,0.0,0,0,2025
022,Jl. Rahmah Bahran,Kandangan,0.22,4,0.2199999988079071,0,0,0,0,0,0.0,0.2199999988079071,99.999999,0,0.0,0,0.0,0.0,0,0,2025
023,Jl. Brigjen Katamso,Kandangan,0.35,3.5,0.3499999940395355,0,0,0,0,0,0.0,0.3499999940395355,99.999998,0,0.0,0,0.0,0.0,0,0,2025
024,Jl. Kolonel Sugiono,Kandangan,0.22,3,0.2199999988079071,0,0,0,0,0.2199999988079071,99.999999,0,0.0,0,0.0,0,0.0,0.0,0,0,2025
025,Singakarsa - Palas,Kandangan,5.32,4,5.320000171661377,0,0,0,0,1.100000023841858,20.676692,1.7000000476837158,31.954888,1.3200000524520874,24.812031,1.2000000476837158,22.556392,47.368423,0,0,2025
026,Singakarsa - Getek,Kandangan,0.2,4,0.20000000298023224,0,0,0,0,0,0.0,0.20000000298023224,100.000001,0,0.0,0,0.0,0.0,0,0,2025
027,Parincahan - Singakarsa (Jl. Harapan),Kandangan,0.66,3.5,0.6600000262260437,0,0,0,0,0,0.0,0.6600000262260437,100.000004,0,0.0,0,0.0,0.0,0,0,2025
028,Budi Bakti - Tiga Desember,Kandangan,0.81,5,0.8100000023841858,0,0,0,0,0,0.0,0.8100000023841858,100.0,0,0.0,0,0.0,0.0,0,0,2025
029,Jl. Jafri Zamzam,Kandangan,1.07,3.0299999713897705,1.0700000524520874,0,0,0,0,0,0.0,0.6700000166893005,62.616824,0.20000000298023224,18.691589,0.20000000298023224,18.691589,37.383178,0,0,2025
030,Sungai Damang - Amawang Kiri,Kandangan,2.51,3.5,2.509999990463257,0,0,0,0,0.6000000238418579,23.904383,1.7100000381469727,68.127492,0.20000000298023224,7.968128,0,0.0,7.968128,0,0,2025
031,Amawang Muka - Getek,Kandangan,5.41,3.5,5.409999847412109,0,0,0,0,4.5,83.179298,0.4099999964237213,7.578558,0.5,9.242144,0,0.0,9.242144,0,0,2025
032,Amawang Kanan - Wasah Hulu,Kandangan,3.17,3.5,3.1700000762939453,0,0,0,0,0,0.0,2.4700000286102295,77.917982,0.699999988079071,22.082019,0,0.0,22.082019,0,0,2025
033,Jl. DI. Panjaitan - Loklua,Kandangan,0.41,4.5,0.4099999964237213,0,0,0,0,0,0.0,0.4099999964237213,99.999999,0,0.0,0,0.0,0.0,0,0,2025
034,Jl. Jend. Sudirman,Kandangan,2.44,8,2.440000057220459,0,0,0,0,0,0.0,2.440000057220459,100.000002,0,0.0,0,0.0,0.0,0,0,2025
035,Jl. AES Nasution,Kandangan,0.24,3.5,0.23999999463558197,0,0,0,0,0.23999999463558197,99.999998,0,0.0,0,0.0,0,0.0,0.0,0,0,2025
036,Tembok Lama - Loklua,Kandangan,0.84,3,0.8399999737739563,0,0,0,0,0,0.0,0.4399999976158142,52.380952,0.30000001192092896,35.714287,0.10000000149011612,11.904762,47.619049,0,0,2025
037,Jl. Kesehatan - Komp. Rmh Dokter,Kandangan,0.28,3.5,0.2800000011920929,0,0,0,0,0.2800000011920929,100.0,0,0.0,0,0.0,0,0.0,0.0,0,0,2025
038,Jl. Samping Bappeda - Mesjid Darul Halik,Kandangan,0.19,3.5,0.1899999976158142,0,0,0,0,0,0.0,0,0.0,0.1899999976158142,99.999999,0,0.0,99.999999,0,0,2025
039,Jl.  Bina Bakat,Kandangan,0.24,3,0.23999999463558197,0,0,0,0,0.23999999463558197,99.999998,0,0.0,0,0.0,0,0.0,0.0,0,0,2025
040,Baluti - Jambu Hulu (Paku),Kandangan - Padang Batung,4.07,3.5,4.070000171661377,0,0,0,0,0.5,12.285012,1.7999999523162842,44.226043,1.2699999809265137,31.203931,0.5,12.285012,43.488943,0,0,2025
041,Sp. 3 Baluti - Amawang,Kandangan,1.57,3,1.5700000524520874,0,0,0,0,0.4000000059604645,25.477707,1.0700000524520874,68.15287,0.10000000149011612,6.369427,0,0.0,6.369427,0,0,2025
042,Sei Kupang Utara - Simp. Empat Lungau,Kandangan,2.36,3.5,2.299999952316284,0,0.05999999865889549,0,0,1.5,63.559322,0.8600000143051147,36.440679,0,0.0,0,0.0,0.0,0,0,2025
043,Sp. Empat Lungau - Bangkau,Kandangan,8.1,3,2.200000047683716,0,0,0,5.900000095367432,0,0.0,2.200000047683716,27.160494,0,0.0,5.900000095367432,72.839507,72.839507,0,0,2025
044,Sp. Empat Lungau - Garis,Kandangan,8.19,3,1.600000023841858,0,0,1.399999976158142,5.190000057220459,0,0.0,1.600000023841858,19.53602,0,0.0,6.590000152587891,80.463982,80.463982,0,0,2025
045,Gambir - Sp. Empat Lungau,Kandangan,2.95,3,1.5,0,0,0.699999988079071,0.75,0,0.0,1.5,50.847458,0,0.0,1.4500000476837158,49.152544,49.152544,0,0,2025
046,Bariang - Getek,Kandangan,1.24,3,1.2400000095367432,0,0,0,0,0,0.0,0.4000000059604645,32.258065,0.8399999737739563,67.741933,0,0.0,67.741933,0,0,2025
047,Muara Banta - Karang Jawa,Kandangan - Padang Batung,1.59,3,1.590000033378601,0,0,0,0,0,0.0,1.590000033378601,100.000002,0,0.0,0,0.0,0.0,0,0,2025
048,Sungai Paring - Sei Hanyar Pantai Ulin,Kandangan - Simpur,5.85,3,5.050000190734863,0,0,0.800000011920929,0,0,0.0,1.399999976158142,23.931624,2.299999952316284,39.316239,2.150000035762787,36.752137,76.068376,0,0,2025
049,Kandangan Hulu - Sp. Tabihi,Kandangan - Padang Batung,1.25,3.5,1.25,0,0,0,0,0.3499999940395355,28.0,0.8999999761581421,71.999998,0,0.0,0,0.0,0.0,0,0,2025
050,Banyu Barau - Sei Kalang,Kandangan,2.1,3,2.0999999046325684,0,0,0,0,0.8999999761581421,42.857142,1.2000000476837158,57.142859,0,0.0,0,0.0,0.0,0,0,2025
051,Tibung Raya - Asam Cangkuk,Kandangan,0.86,3,0.8600000143051147,0,0,0,0,0.8600000143051147,100.000002,0,0.0,0,0.0,0,0.0,0.0,0,0,2025
052,Gambah Dalam - Rantauan,Kandangan,1.52,3,1.5199999809265137,0,0,0,0,0,0.0,1.0199999809265137,67.105262,0.5,32.894737,0,0.0,32.894737,0,0,2025
053,Gambah Luar - Gambah Dalam,Kandangan,1.29,3,1.2899999618530273,0,0,0,0,0,0.0,0.9900000095367432,76.744187,0.30000001192092896,23.255815,0,0.0,23.255815,0,0,2025
054,Pegangsaan Timur - Teluk Aman,Kandangan,1.05,3,1.0499999523162842,0,0,0,0,0,0.0,0.75,71.428571,0.30000001192092896,28.57143,0,0.0,28.57143,0,0,2025
055,Gambah Luar - Sungai Kudung,Kandangan,0.89,3.5,0.8899999856948853,0,0,0,0,0,0.0,0.38999998569488525,43.820223,0.4000000059604645,44.943821,0.10000000149011612,11.235955,56.179776,0,0,2025
056,Bakarung Tengah - Karang Jawa,Kandangan - Padang Batung,3.77,3.5,3.7699999809265137,0,0,0,0,0,0.0,3.069999933242798,81.432359,0.699999988079071,18.567639,0,0.0,18.567639,0,0,2025
057,Jl. Papagaran/Palangsatan,Kandangan - Simpur,1,3,1,0,0,0,0,0,0.0,0.30000001192092896,30.000001,0.699999988079071,69.999999,0,0.0,69.999999,0,0,2025
058,Jl. Tembok Kacil. Sei. Kudung,Kandangan - Padang Batung,0.37,3,0.3700000047683716,0,0,0,0,0,0.0,0.30000001192092896,81.081084,0.07000000029802322,18.918919,0,0.0,18.918919,0,0,2025
059,Jl. Mesjid Quba,Kandangan,0.21,3.5,0.20999999344348907,0,0,0,0,0,0.0,0.20999999344348907,99.999997,0,0.0,0,0.0,0.0,0,0,2025
060,Jl. Sungai Karuh ,Kandangan,1.96,3,1.9600000381469727,0,0,0,0,0,0.0,1.9600000381469727,100.000002,0,0.0,0,0.0,0.0,0,0,2025
061,Rambai - Bariang,Kandangan,1.21,3,1.2100000381469727,0,0,0,0,0,0.0,0.6000000238418579,49.586779,0.20000000298023224,16.528926,0.4099999964237213,33.884297,50.413223,0,0,2025
062,Jangkang - Pantai Ulin,Kandangan,1.69,3,1.100000023841858,0,0,0.5899999737739563,0,1,59.171598,0,0.0,0.10000000149011612,5.91716,0.5899999737739563,34.911241,40.828401,0,0,2025
063,Jl. Padang Palas,Kandangan,0.68,3,0.6800000071525574,0,0,0,0,0,0.0,0.47999998927116394,70.588234,0.20000000298023224,29.411765,0,0.0,29.411765,0,0,2025
064,Tibung Dalam - Teratai,Kandangan - Sungai Raya,0.52,3,0.5199999809265137,0,0,0,0,0,0.0,0.41999998688697815,80.769228,0.10000000149011612,19.23077,0,0.0,19.23077,0,0,2025
065,Jl. Kalaka Indah - Perumnas Tibung,Kandangan,0.41,3.5,0.4099999964237213,0,0,0,0,0,0.0,0.4099999964237213,99.999999,0,0.0,0,0.0,0.0,0,0,2025
066,Jl. Teratai Menuju Komplek Perumnas Hamalau,Kandangan - Sungai Raya,0.41,3,0.4099999964237213,0,0,0,0,0.10000000149011612,24.390244,0.3100000023841858,75.609757,0,0.0,0,0.0,0.0,0,0,2025
067,Teluk Pinang - Baluti,Kandangan,1.64,3.5,1.6399999856948853,0,0,0,0,0,0.0,1.6399999856948853,99.999999,0,0.0,0,0.0,0.0,0,0,2025
068,Tibung Raya - Hamalau Dalam,Kandangan,0.91,3.5,0.9100000262260437,0,0,0,0,0.20000000298023224,21.978022,0.6000000238418579,65.934069,0.10999999940395355,12.087912,0,0.0,12.087912,0,0,2025
069,Jl. Baiturrahim Parincahan,Kandangan,1.42,3,1.2000000476837158,0,0,0.2199999988079071,0,0,0.0,0.30000001192092896,21.126761,0.30000001192092896,21.126761,0.820000022649765,57.74648,78.873242,0,0,2025
070,Jl. Newangsekarti - Ds. Gambah Luar Muka,Kandangan,0.29,3,0.28999999165534973,0,0,0,0,0.28999999165534973,99.999997,0,0.0,0,0.0,0,0.0,0.0,0,0,2025
071,Jl. Tembok Baru (Asam Cangkok),Kandangan,0.5,3,0.5,0,0,0,0,0,0.0,0.4000000059604645,80.000001,0.10000000149011612,20.0,0,0.0,20.0,0,0,2025
072,Sungai Paring - Toba,Kandangan - Simpur,0.84,3,0.8399999737739563,0,0,0,0,0,0.0,0.30000001192092896,35.714287,0.5400000214576721,64.285717,0,0.0,64.285717,0,0,2025
073,Jl. Tembok Baru - Ds. Baluti,Kandangan,0.14,3,0.14000000059604645,0,0,0,0,0,0.0,0.03999999910593033,28.571428,0.10000000149011612,71.428572,0,0.0,71.428572,0,0,2025
074,Jl. H. Jarkasi - Ds. Sungai Paring,Kandangan,0.12,3,0.11999999731779099,0,0,0,0,0,0.0,0.10000000149011612,83.333335,0.019999999552965164,16.666666,0,0.0,16.666666,0,0,2025
075,Bariang - Patigan,Kandangan,1.63,3,1.6299999952316284,0,0,0,0,0.6000000238418579,36.809817,1.0299999713897705,63.190182,0,0.0,0,0.0,0.0,0,0,2025
076,Gambah Dalam Barat - Mahulung,Kandangan - Angkinang,1.92,3,1.9199999570846558,0,0,0,0,0.11999999731779099,6.25,1.7999999523162842,93.749998,0,0.0,0,0.0,0.0,0,0,2025
077,Jl. Suriangpati - Gambah Dalam Barat,Kandangan,2.82,3,0.800000011920929,0,0,2.0199999809265137,0,0.10000000149011612,3.546099,0.10000000149011612,3.546099,0.5,17.730496,2.11999998241663,75.177304,92.907801,0,0,2025
078,Jl. Menuju SMP 7 - Ds. Gambah Dalam,Kandangan,1,3,1,0,0,0,0,0,0.0,0.4000000059604645,40.000001,0.6000000238418579,60.000002,0,0.0,60.000002,0,0,2025
079,Telaga Banta - Patigan,Kandangan,0.64,3,0.6399999856948853,0,0,0,0,0.6399999856948853,99.999998,0,0.0,0,0.0,0,0.0,0.0,0,0,2025
080,Jl. Nomura ,Kandangan,0.41,3,0.4099999964237213,0,0,0,0,0,0.0,0.4099999964237213,99.999999,0,0.0,0,0.0,0.0,0,0,2025
081,Jl. Lorong Bupati,Kandangan,0.39,3,0.38999998569488525,0,0,0,0,0.10000000149011612,25.641026,0.28999999165534973,74.358972,0,0.0,0,0.0,0.0,0,0,2025
082,Jl. Biti - Sungai Kupang (Karya Bakti TNI) ,Kandangan,1.82,3,1.8200000524520874,0,0,0,0,0.5,27.472527,0.30000001192092896,16.483517,0.6200000047683716,34.065934,0.4000000059604645,21.978022,56.043957,0,0,2025
083,Jl. Palajau - Ds. Baluti,Kandangan,1.28,3,0,0,0.8799999952316284,0.4000000059604645,0,0.4000000059604645,31.25,0,0.0,0,0.0,0.8799999952316284,68.75,68.75,0,0,2025
084,Jl. RS. Hasan Basry II,Sungai Raya ,0.1,10,0.10000000149011612,0,0,0,0,0,0.0,0.10000000149011612,100.000001,0,0.0,0,0.0,0.0,0,0,2025
085,Tajun - Sp.3 Muara Paring Agung,Sungai Raya ,4.97,3.5,4.96999979019165,0,0,0,0,4.46999979019165,89.939634,0.5,10.060362,0,0.0,0,0.0,0.0,0,0,2025
086,Hamalau - Anjiran,Sungai Raya ,0.9,3,0.8999999761581421,0,0,0,0,0,0.0,0.800000011920929,88.88889,0.10000000149011612,11.111111,0,0.0,11.111111,0,0,2025
087,Tanjungan - Sp. 10 Batang Kulur - Sungai Kali,Sungai Raya ,7.3,3,7.300000190734863,0,0,0,0,0,0.0,7,95.890411,0.30000001192092896,4.109589,0,0.0,4.109589,0,0,2025
088,Sungai Raya Selatan - Sarang Halang,Sungai Raya ,2.62,3,2.619999885559082,0,0,0,0,0,0.0,0.3199999928474426,12.21374,0.699999988079071,26.717557,1.600000023841858,61.068703,87.78626,0,0,2025
089,Sp. Batang Kulur Kiri - Tatas,Sungai Raya ,2.37,3,2.369999885559082,0,0,0,0,0,0.0,0.5699999928474426,24.050633,1.7999999523162842,75.949365,0,0.0,75.949365,0,0,2025
090,Taal Batang Kulur - Sp. 3 Muara Prg Agung,Sungai Raya ,4.12,3.5,4.119999885559082,0,0,0,0,0.20000000298023224,4.854369,2.0999999046325684,50.970871,1.0199999809265137,24.757281,0.800000011920929,19.417476,44.174757,0,0,2025
091,Batang Kulur Kanan - Sarangan,Sungai Raya ,2.18,3,2.180000066757202,0,0,0,0,0,0.0,1.6799999475479126,77.064218,0.5,22.93578,0,0.0,22.93578,0,0,2025
