hps_id,source_row,division_code,division_name,payment_code,uraian,original_satuan,satuan,harga_rp,source_reference,item_family,quantity_basis,is_support_item
hps_0001,12,1,UMUM,1.20.(1),"Pengeboran, termasuk SPT dan Laporan",M1,M1,735878.68,SE DJBK No. 182/SE/Dk/2025 / AHSP Bina Marga,general_and_smkk,length_m,True
hps_0002,13,1,UMUM,1.20.(2),Sondir termasuk Laporan,M1,M1,463909.01,SE DJBK No. 182/SE/Dk/2025 / AHSP Bina Marga,general_and_smkk,length_m,True
hps_0003,16,1,UMUM,SKh-1.1.22.(1a),"Pembuatan dokumen SMKK (RKK, RMPK, RKPPL, RMLLP)",Set,Set,550000.0,SE DJBK No. 182/SE/Dk/2025 / AHSP Bina Marga,general_and_smkk,unit_count,True
hps_0004,17,1,UMUM,SKh-1.1.22.(1b),Pembuatan Prosedur dan Instruksi Kerja,Set,Set,550000.0,SE DJBK No. 182/SE/Dk/2025 / AHSP Bina Marga,general_and_smkk,unit_count,True
hps_0005,18,1,UMUM,SKh-1.1.22.(1c),Penyusunan pelaporan penerapan SMKK,Set,Set,550000.0,SE DJBK No. 182/SE/Dk/2025 / AHSP Bina Marga,general_and_smkk,unit_count,True
hps_0006,21,1,UMUM,SKh-1.1.22.(2a),Induksi Keselamatan Konstruksi (Safety Induction),Orang,Orang,100000.0,SE DJBK No. 182/SE/Dk/2025 / AHSP Bina Marga,general_and_smkk,unknown,True
hps_0007,22,1,UMUM,SKh-1.1.22.(2b),Pengarahan Keselamatan Konstruksi (Safety Briefing),Orang,Orang,100000.0,SE DJBK No. 182/SE/Dk/2025 / AHSP Bina Marga,general_and_smkk,unknown,True
hps_0008,23,1,UMUM,SKh-1.1.22.(2c),Pertemuan keselamatan (Safety Talk dan/atau Tool Box Meeting),Orang,Orang,100000.0,SE DJBK No. 182/SE/Dk/2025 / AHSP Bina Marga,general_and_smkk,unknown,True
hps_0009,24,1,UMUM,SKh-1.1.22.(2g),Spanduk (banner),Buah,Buah,350000.0,SE DJBK No. 182/SE/Dk/2025 / AHSP Bina Marga,general_and_smkk,unit_count,True
hps_0010,25,1,UMUM,SKh-1.1.22.(2h),Poster/leaflet,Lembar,Lembar,175000.0,SE DJBK No. 182/SE/Dk/2025 / AHSP Bina Marga,general_and_smkk,unknown,True
hps_0011,26,1,UMUM,SKh-1.1.22.(2i),Papan Informasi Keselamatan konstruksi,Lembar,Lembar,300000.0,SE DJBK No. 182/SE/Dk/2025 / AHSP Bina Marga,general_and_smkk,unknown,True
hps_0012,29,1,UMUM,SKh-1.1.22.(3a5),Pembatas area (Restricted Area),Rol,Rol,137000.0,SE DJBK No. 182/SE/Dk/2025 / AHSP Bina Marga,general_and_smkk,unknown,True
