;;  ;
No. Mata;Uraian;Satuan; Harga 
Pembayaran;;; Satuan 
;;; (Rupiah) 
A;b;c; e 
;;;
;DIVISI 1. UMUM;;
1.2;Mobilisasi;;
1.2;Mobilisasi;LS;#REF!
;;;
1.20;Pengujian Tanah;;
1.20.(1);Pengeboran, termasuk SPT dan Laporan ;M1; 735.878,68 
1.20.(2);Sondir termasuk Laporan;M1; 463.909,01 
;;;
1;Penyiapan dokumen penerapan SMKK:;;
SKh-1.1.22.(1a);Pembuatan dokumen SMKK (RKK, RMPK, RKPPL, RMLLP);Set; 550.000,00 
SKh-1.1.22.(1b);Pembuatan Prosedur dan Instruksi Kerja;Set; 550.000,00 
SKh-1.1.22.(1c) ;Penyusunan pelaporan penerapan SMKK;Set; 550.000,00 
;;;
2;Sosialisasi, Promosi, dan Pelatihan:;;
SKh-1.1.22.(2a);Induksi Keselamatan Konstruksi (Safety Induction);Orang; 100.000,00 
SKh-1.1.22.(2b);Pengarahan Keselamatan Konstruksi (Safety Briefing) ;Orang; 100.000,00 
SKh-1.1.22.(2c);Pertemuan keselamatan (Safety Talk dan/atau Tool Box Meeting);Orang; 100.000,00 
SKh-1.1.22.(2g);Spanduk (banner) ;Buah; 350.000,00 
SKh-1.1.22.(2h);Poster/leaflet;Lembar; 175.000,00 
SKh-1.1.22.(2i);Papan Informasi Keselamatan konstruksi;Lembar; 300.000,00 
;;;
3;Alat Pelindung Kerja dan Alat Pelindung Diri:;;
SKh-1.1.22.(3a5);Pembatas area (Restricted Area) ;Rol; 137.000,00 
SKh-1.1.22.(3b1);Topi pelindung (Safety Helmet);Buah; 54.300,00 
SKh-1.1.22.(3b2);Pelindung mata (Goggles, Spectacles);Buah; 49.500,00 
SKh-1.1.22.(3b6);Pelindung pernafasan dan mulut (masker, masker respirator);Buah; 9.400,00 
SKh-1.1.22.(3b7);Sarung tangan kerja (safety gloves);Pasang; 3.400,00 
SKh-1.1.22.(3b8);Sepatu keselamatan (Safety Shoes, rubber safety shoes and toe cap);Pasang; 135.400,00 
SKh-1.1.22.(3b11);Rompi keselamatan (Safety Vest);Buah; 39.000,00 
;;;
4;Asuransi:;;
SKh-1.1.22.(4a);Asuransi (Construction All Risk/CAR);Paket; -   
;;;
5;Personel Keselamatan Konstruksi:;;
SKh-1.1.22.(5b);Ahli K3 konstruksi/ahli keselamatan konstruksi;Orang; 20.241.026,67 
SKh-1.1.22.(5c);Petugas Keselamatan Konstruksi, Petugas K3 Konstruksi;Orang; 3.899.999,95 
SKh-1.1.22.(5f);Petugas P3K;Orang;
SKh-1.1.22.(5h);Petugas Pengatur Lalu Lintas;Orang; 3.899.999,95 
;;;
6;Fasilitas Sarana, Prasarana, dan Alat Kesehatan;;
SKh-1.1.22.(6a);Peralatan P3K;Set; 891.000,00 
SKh-1.1.22.(6b);Ruang P3K;Set; 3.000.000,00 
;;;
7;Rambu dan Perlengkapan Lalu Lintas:;;
SKh-1.1.22.(7a);Rambu petunjuk;Buah; 375.000,00 
SKh-1.1.22.(7b);Rambu larangan;Buah; 375.000,00 
SKh-1.1.22.(7c);Rambu peringatan;Buah; 375.000,00 
SKh-1.1.22.(7d);Rambu kewajiban;Buah; 375.000,00 
SKh-1.1.22.(7e);Rambu informasi;Buah; 375.000,00 
